word,count
have,4
monitor,1
paid,1
for,19
students.,1
assured,1
Traffic,1
Your,3119
taking,1
Compliments,1
achievemnets,1
Nitish,1
9,1
"man,",1
don't,2
Bihar.,1
including,1
Kejriwal,1
advance,1
ensure,1
HSBC,1
class,3120
hurt,1
Change,1
words,1
queues.,1
soul.,1
act,1
page,1
Sunita,2
hold,1
Inaugurated,1
stopped,1
with,1
try,1
accountable(3/3),1
get,1
expectations(2/3),1
invitation,1
us.,3119
gone.Feeling,1
me.,1
MLAs,1
better.,1
precisely,1
Thanks,1
together,1
blessings,1
it,1
"parties,",1
Delhi's,1
Thank,1
book,2
receiving,1
Spend,1
better,1
EVMs,2
similar,1
11,1
was,2
"support,",1
Minister,1
board,1
claim,1
worked,2
did,5
building,1
mine,1
achievemnts,1
opponents,1
as,7
deeply,1
due,2
R,1
round,3
people's,1
Sleep.,1
inaugurated,1
second,1
i,3
time.,1
has,4
video,1
ceremony(1/3),1
ur,4
died,1
pray.,1
already,1
Brother,1
I'm,1
rules.,1
months,2
distribution.,1
slowed,2
It,1
work,1
Just,1
Best,1
govt,2
cong,2
He,1
BJP,7
Volunteers,1
n,13
solns(2/3),1
are,5
waiting,1
in,19
Watch,1
maidan.,1
underground,1
after,1
An,1
down,2
Holy,1
both..RT,1
PC,1
copy,2
Sh,1
some,2
didn't,1
telegenic,1
supporter,1
33,1
what,2
list,1
u?,1
gave,1
13,1
During,1
Prince,1
daily,1
religion.Hope,1
del,2
provide,2
Why,1
compared,1
names,1
traffic,3
"Maheshwer,",1
expectations,1
grateful.Do,1
loss.,1
do,1
statehood,1
jams.,1
congratulations,1
Dear,1
telling,2
AAP's,1
fin,1
bereaved,1
meet,2
"places,",1
Del,1
ashram,1
premises,2
Rajnath,1
"am,",1
by,3
Gladiator,1
reservoir,1
ppl.,1
officials?,1
1.7,1
same.,1
Its,1
Kolkata.,1
Goel,1
booth,1
immediately,1
Relax,1
Pl,1
Delhi.,3120
wife,1
Auxilium,1
Hope,1
water,2
constituency,1
wherever,1
sworn,1
-the,1
up,2
benefit,1
What,1
and,13
blast,1
looking,1
any,3
father,2
The,4
think,1
powerful.,1
Cong,1
Fever,1
bless,2
demoralized.,1
CM,2
last,1
these,3
family.,1
Polling,1
family,2
Harper,1
Victory,1
am,3
allowing,1
Happy,1
janakpuri.,1
full,2
allegations,1
fun.,1
frend,1
Thanxx,1
so,2
congress.,1
finding,1
reading...,1
Hriday,1
carrying,1
Dwarka.,1
truth,1
devote,1
politics!,1
car?,1
Have,1
voters,1
spare,1
rejcted,1
analysis,1
become,1
Restarted,1
watch,1
few,1
"rules,",1
days.,1
lovely,1
"police,",2
But,1
birthday,1
being,4
espionage,1
success,1
exams,1
gratitud,1
God,2
amazing,1
winning,1
share,1
care,1
asking,1
Delhiites.,1
office,1
"voter,",1
EC,1
"jawan,",1
to,3148
"AAP,",2
them.,1
we,3119
task,1
how,2
grounded,1
walk,1
at,3
our,3
Crown,1
taken,2
constructive,1
several,1
letter,2
Voters,1
"people,",1
r,7
Collins,1
specific,1
liquor,2
Commission,1
expectations?,1
polls(2/2),1
pained,1
that(3/3),1
exit,1
Chief,1
v,1
Chill.,1
places.,2
much,1
utilize,1
posed,1
well,2
yest.,1
inside,1
solns,1
thnks,1
know,1
extremly,1
tech,1
laid,1
bigger,1
Surjeet,1
meeting,1
imp,1
Shudn't,1
my,5
ministries,1
per,3
strongly,1
Battle,1
bottles,1
Invited,1
",",1
ministers,1
professionl,1
there,2
ppl,2
kept?,1
met,3
criminal,1
Are,1
We,5
from,4
pray,2
help,1
FB,1
She,1
win,1
Naidu,1
on,7
Met,1
necessary,1
today,1
movies.,1
forces,1
reach,1
rains.,1
50,1
delhi,1
officers,1
wid,4
simple,1
happy.,1
crore,1
Delhi,4
ministry(1/3),1
courage,1
duty,1
good,1
u.,1
mine.,1
He's,1
us.Our,1
supprt,1
candidature,1
They,3
clear,1
trust,3120
elections.My,1
caste,1
US,1
Kumar,1
spill,1
read,1
pol,1
These,1
attack,1
Advance,1
tribute,1
Long,1
:),1
"reassuring,",1
first,3
NDTV,1
problems,1
this,3
available,1
Amazing,1
wud,1
they,2
man,2
Nirmal,1
politics,1
only,1
Venkaiah,1
which,3
journey,1
Water,1
small,1
yes,1
both,2
BJP's,1
stand,1
Ramlila,1
me,3
must,1
parts,1
against,2
implementing,1
3,1
more,1
4,4
shining,1
15,1
myself?,1
job.,1
clock,3
lies,1
Plant,1
info,1
candidate,1
"yoga,",1
Interesting,1
excite,1
Must,1
today.,3
police,2
As,1
Piyush,1
humble,2
proud,1
voting,1
Narottam,1
elections.,1
Do,4
a,3130
"bodies,",1
their,3
2012,1
serious,1
-,5
written,1
now.,1
do?,1
"faith,",3119
Nothing?,1
.,4
one,3
kept.,1
12th,1
If,1
always,1
Deployed,1
intervene(3/3),1
&amp;,1
results,1
us(1/2),1
safely,1
life,1
lakh,2
I,15
Please,1
final,1
"""",1
Many,1
is,3124
Talked,1
volunteers,3
returning(1/3),1
"me,",1
best,4
shud,3
her.,1
deployed,1
morn,1
pics,1
U,3
party.,1
process.,1
healthy,1
focus,1
Congratulations,2
example,1
top,1
Why?,1
of,21
amazing.U,1
had,1
the,19
arrested,1
hv,1
highlighted,1
people,2
"background,",1
nice,1
will,3130
who,5
ji,3
IE,1
acts,1
country.,1
support.,1
Treatment,1
Our,1
of.,1
early(1/2),1
person,1
world,3119
7,1
touching,1
clip.,1
2,9
MLA,1
workers,2
breaks,1
tea.,1
"volunteers,",1
Volunteers.,1
bursting,1
lunch,1
Mother,2
why,2
about,2
noble,1
tolerated,1
time,2
relationship,1
energy,1
than,1
sector,1
hrs,1
Mangolpuri,2
Together,3119
your,3119
funding,1
possible(2/2),1
voting(2/3),1
it.,1
many,2
surprised,1
family(2/3),1
showing,1
given,1
jams,1
Can't,1
This,3
keep,3
house,1
want,2
"Sat,14th",1
clarifies,1
clean,3
page..Worth,1
V,2
an,2
centre(3/3),1
Q,1
Congrats,3
leaked,1
All,1
quote,1
Meditate.,1
associations.We,1
circle.,1
revolution.,1
..,2
hear,1
ML,1
its,3
completely,1
writer,1
sincere,1
beans.,1
doesn't,1
A,1
govt.,1
portfolio,1
create,3119
15.5,1
even,1
bcoz,1
too,1
u,4
allowed,1
Some,2
most,2
admires,1
pocket(2/3),1
are.,1
ceremony.,1
sunita,1
going,1
into,1
be,4
myself,1
AAP,3
now,1
model,1
today(1/3),1
50MGD,1
No,2
governance,1
promises,1
very,3
vigil,2
support,1
continue,2
"words,",1
condemn,1
wrote,1
pm.,1
that,2
Be,1
Child,1
rkt.,1
ads,1
Massive,1
not,2
selfless,1
Dialogue,1
revealed,1
school.,1
day,1
song..,1
"Feb,",1
complaints,1
systemic,1
Also,2
son,1
cancelled?,1
Delhiites,1
Even,1
emotional,1
Nov,1
1st,1
Explained,1
2day.,1
"Das,",1
decided.,1
Teresa,2
Prayers,1
!!,1
housing,1
My,5
vindicated(1/3),1
extensively.,1
all,7
officials,1
Rs,1
betrayal,1
his,7
includes,1
them,4
oath,2
sent,1
pl,2
Mr.,1
"interogations,",1
1,2
micromanage,1
Sources-,1
detained,1
bhabi,1
kind,1
(1/2),1
job(3/3),1
:,1
sacred,3119
following,1
where,1
regularly,1
wishes,1
Leave,1
CRPF,1
