A,B,C,D,E,F,G 
world like python,0.39780000000000004,0.2944,0.30460000000000004,0.45999999999999996,0.3452,Fear
world like python,0.39780000000000004,0.2944,0.30460000000000004,0.45999999999999996,0.3452,Fear
world like python,0.39780000000000004,0.2944,0.30460000000000004,0.45999999999999996,0.3452,Fear
building more,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
rock paper scissors,0.326,0.3266666666666667,0.28933333333333333,0.3393333333333333,0.2786666666666667,Fear
rock paper scissors,0.326,0.3266666666666667,0.28933333333333333,0.3393333333333333,0.2786666666666667,Fear
rock paper scissors,0.326,0.3266666666666667,0.28933333333333333,0.3393333333333333,0.2786666666666667,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
rock paper scissors,0.326,0.3266666666666667,0.28933333333333333,0.3393333333333333,0.2786666666666667,Fear
rock paper,0.34400000000000003,0.329,0.29500000000000004,0.309,0.29300000000000004,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
building more,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
building more,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
more humble book,0.45949999999999996,0.266,0.279,0.252,0.2355,Happiness
more humble book,0.45949999999999996,0.266,0.279,0.252,0.2355,Happiness
more humble book,0.45949999999999996,0.266,0.279,0.252,0.2355,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
free complete,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
joy,0.906,0.21400000000000002,0.22999999999999998,0.21600000000000003,0.22000000000000003,Happiness
more humble book,0.45949999999999996,0.266,0.279,0.252,0.2355,Happiness
more humble book,0.45949999999999996,0.266,0.279,0.252,0.2355,Happiness
more humble book,0.45949999999999996,0.266,0.279,0.252,0.2355,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free complete,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free complete python,0.567,0.28300000000000003,0.267,0.488,0.34800000000000003,Happiness
free complete,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free complete,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free complete,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
python learn,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
more,0,0,0,0,0,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python learn,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
python learn,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
more,0,0,0,0,0,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
not,0,0,0,0,0,Happiness
more machine,0.185,0.16899999999999998,0.13799999999999998,0.182,0.13899999999999998,Happiness
more machine,0.185,0.16899999999999998,0.13799999999999998,0.182,0.13899999999999998,Happiness
more machine,0.185,0.16899999999999998,0.13799999999999998,0.182,0.13899999999999998,Happiness
not,0,0,0,0,0,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
time idea,0.513,0.31,0.328,0.34800000000000003,0.253,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
most building python,0.2813,0.2796,0.2591,0.481,0.35150000000000003,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
most building python,0.2813,0.2796,0.2591,0.481,0.35150000000000003,Fear
most building python,0.2813,0.2796,0.2591,0.481,0.35150000000000003,Fear
part,0.316,0.256,0.298,0.274,0.252,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
most building python,0.2813,0.2796,0.2591,0.481,0.35150000000000003,Fear
part,0.316,0.256,0.298,0.274,0.252,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
nice little too free,0.6449999999999999,0.1685,0.1735,0.1805,0.1665,Happiness
python quick,0.384,0.301,0.28300000000000003,0.496,0.35300000000000004,Fear
quick,0.506,0.266,0.262,0.282,0.22799999999999998,Happiness
quick,0.506,0.266,0.262,0.282,0.22799999999999998,Happiness
