A,B,C,D,E,F,G 
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
truth,0.734,0.306,0.33399999999999996,0.378,0.27999999999999997,Happiness
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
truth,0.734,0.306,0.33399999999999996,0.378,0.27999999999999997,Happiness
not memory,0.328,0.6,0.506,0.616,0.662,Disgust
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
truth,0.734,0.306,0.33399999999999996,0.378,0.27999999999999997,Happiness
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294,Happiness
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294,Happiness
world,0.5860000000000001,0.32,0.366,0.352,0.308,Happiness
more,0,0,0,0,0,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
patent,0.344,0.266,0.266,0.284,0.246,Happiness
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
spring,0.874,0.236,0.246,0.236,0.242,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
world,0.5860000000000001,0.32,0.366,0.352,0.308,Happiness
debt,0.21600000000000003,0.612,0.6679999999999999,0.706,0.462,Fear
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
game,0.706,0.378,0.318,0.294,0.24,Happiness
game,0.706,0.378,0.318,0.294,0.24,Happiness
game,0.706,0.378,0.318,0.294,0.24,Happiness
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294,Happiness
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997,Happiness
quick,0.506,0.266,0.262,0.282,0.22799999999999998,Happiness
soft tree,0.629,0.227,0.23899999999999996,0.23399999999999999,0.21400000000000002,Happiness
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294,Happiness
not,0,0,0,0,0,Happiness
not,0,0,0,0,0,Happiness
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25,Happiness
face,0.624,0.368,0.4,0.372,0.348,Happiness
time python,0.33799999999999997,0.346,0.347,0.571,0.371,Fear
bus building,0.324,0.27,0.244,0.28300000000000003,0.274,Happiness
obsession computer vision nature,0.5675,0.3195,0.3,0.3465,0.3095,Happiness
