A,B,C,D,E,F,G 
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
watch,0.4,0.25,0.27599999999999997,0.284,0.258,Happiness
capable,0.6839999999999999,0.262,0.27,0.312,0.252,Happiness
capable,0.6839999999999999,0.262,0.27,0.312,0.252,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
most,0,0,0,0,0,Happiness
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
most,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
any,0,0,0,0,0,Happiness
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998,Happiness
hope not,0.8140000000000001,0.22000000000000003,0.27,0.264,0.22000000000000003,Happiness
hope not,0.8140000000000001,0.22000000000000003,0.27,0.264,0.22000000000000003,Happiness
any,0,0,0,0,0,Happiness
sin,0.23399999999999999,0.544,0.562,0.5660000000000001,0.538,Fear
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
never most,0,0,0,0,0,Happiness
like,0,0,0,0,0,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997,Happiness
not capable,0.316,0.738,0.73,0.688,0.748,Disgust
most,0,0,0,0,0,Happiness
most,0,0,0,0,0,Happiness
most,0,0,0,0,0,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
pretty pretty,0.8640000000000001,0.27599999999999997,0.318,0.292,0.264,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
more powerful,0.33399999999999996,0.16,0.128,0.225,0.131,Happiness
waterfall,0.8099999999999999,0.22799999999999998,0.24,0.318,0.22599999999999998,Happiness
any,0,0,0,0,0,Happiness
any,0,0,0,0,0,Happiness
face,0.624,0.368,0.4,0.372,0.348,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
face,0.624,0.368,0.4,0.372,0.348,Happiness
more,0,0,0,0,0,Happiness
most dark,0.3258,0.2952,0.3906,0.5526,0.22680000000000003,Fear
honor,0.8300000000000001,0.26,0.268,0.268,0.256,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
improve quality,0.751,0.274,0.259,0.273,0.233,Happiness
like,0,0,0,0,0,Happiness
enjoy,0,0,0,0,0,Happiness
flag,0.626,0.284,0.318,0.288,0.246,Happiness
most,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
privacy,0.618,0.304,0.288,0.316,0.23199999999999998,Happiness
