A,B,C,D,E,F,G
trust,0.8220000000000001,0.308,0.31,0.382,0.27,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
very,0,0,0,0,0,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
like nasty,0.1936,0.3776,0.3024,0.33280000000000004,0.6224000000000001,Disgust
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
more power more more,0.346,0.17099999999999999,0.13999999999999999,0.238,0.147,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
answer,0.47000000000000003,0.284,0.27,0.3,0.22200000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
very,0,0,0,0,0,Happiness
love hate hate,0.5740000000000001,0.576,0.54,0.523,0.42400000000000004,Anger
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
good hope,0.849,0.227,0.24900000000000003,0.253,0.223,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
good hope,0.849,0.227,0.24900000000000003,0.253,0.223,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
computer,0.538,0.368,0.258,0.286,0.284,Happiness
good news,0.656,0.32599999999999996,0.359,0.354,0.32199999999999995,Happiness
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
useful,0.71,0.254,0.23199999999999998,0.22799999999999998,0.22400000000000003,Happiness
any,0,0,0,0,0,Happiness
good hope,0.849,0.227,0.24900000000000003,0.253,0.223,Happiness
good hope,0.849,0.227,0.24900000000000003,0.253,0.223,Happiness
too,0,0,0,0,0,Happiness
party,0.8619999999999999,0.252,0.248,0.27599999999999997,0.252,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
stupid earth hide,0.4193333333333334,0.3926666666666667,0.39599999999999996,0.43200000000000005,0.32466666666666666,Fear
dark any,0.362,0.32799999999999996,0.434,0.614,0.252,Fear
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
rejected,0.21000000000000002,0.7,0.782,0.6940000000000001,0.4,Sadness
part love,0.63,0.298,0.36500000000000005,0.34199999999999997,0.248,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
pride dark,0.567,0.324,0.359,0.438,0.269,Happiness
pride,0.772,0.32,0.284,0.262,0.286,Happiness
dark any,0.362,0.32799999999999996,0.434,0.614,0.252,Fear
win,0.874,0.27,0.264,0.27,0.23399999999999999,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
part love,0.63,0.298,0.36500000000000005,0.34199999999999997,0.248,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
part love,0.63,0.298,0.36500000000000005,0.34199999999999997,0.248,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
writer,0.53,0.32999999999999996,0.39,0.316,0.286,Happiness
