A,B,C,D,E,F,G 
column,0.264,0.244,0.25,0.25,0.22599999999999998,Happiness
alert,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256,Fear
alert,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256,Fear
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
complete,0,0,0,0,0,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
complete,0,0,0,0,0,Happiness
alert,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256,Fear
option,0.5780000000000001,0.264,0.238,0.314,0.21600000000000003,Happiness
not,0,0,0,0,0,Happiness
complete,0,0,0,0,0,Happiness
method,0.314,0.252,0.25,0.258,0.244,Happiness
more learn,0.353,0.16999999999999998,0.152,0.16599999999999998,0.11100000000000002,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
death,0.25,0.632,0.8800000000000001,0.786,0.442,Sadness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
ship,0.43200000000000005,0.22599999999999998,0.25,0.33999999999999997,0.22599999999999998,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
talent,0.796,0.236,0.246,0.27,0.22400000000000003,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
name,0.508,0.298,0.27799999999999997,0.264,0.252,Happiness
not,0,0,0,0,0,Happiness
death,0.25,0.632,0.8800000000000001,0.786,0.442,Sadness
false,0.244,0.524,0.422,0.4,0.318,Anger
love not,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
alert,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256,Fear
complete,0,0,0,0,0,Happiness
complete,0,0,0,0,0,Happiness
complete,0,0,0,0,0,Happiness
complete,0,0,0,0,0,Happiness
more learn,0.353,0.16999999999999998,0.152,0.16599999999999998,0.11100000000000002,Happiness
more learn,0.353,0.16999999999999998,0.152,0.16599999999999998,0.11100000000000002,Happiness
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
alert bar,0.515,0.321,0.29900000000000004,0.396,0.29000000000000004,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
custom,0.442,0.242,0.256,0.236,0.23399999999999999,Happiness
talent,0.796,0.236,0.246,0.27,0.22400000000000003,Happiness
execution time,0.319,0.507,0.5549999999999999,0.5599999999999999,0.449,Fear
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253,Happiness
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
love not,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
love not,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
love not,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
love not,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
love not,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
learn python,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253,Happiness
alert,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
learn python,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
song imagine,0.763,0.29100000000000004,0.341,0.29900000000000004,0.246,Happiness
friendly table,0.612,0.22400000000000003,0.21800000000000003,0.221,0.217,Happiness
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253,Happiness
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253,Happiness
learn python,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
learn python,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
learn python,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
not,0,0,0,0,0,Happiness
learn python,0.484,0.33799999999999997,0.304,0.521,0.35,Fear
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004,Fear
method,0.314,0.252,0.25,0.258,0.244,Happiness
