A,B,C,D,E,F,G 
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
mail not any,0.708,0.27599999999999997,0.27,0.284,0.23399999999999999,Happiness
game,0.706,0.378,0.318,0.294,0.24,Happiness
ink,0.33799999999999997,0.254,0.22999999999999998,0.238,0.238,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
ink,0.33799999999999997,0.254,0.22999999999999998,0.238,0.238,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
time,0.414,0.356,0.39,0.43200000000000005,0.264,Fear
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
very,0,0,0,0,0,Happiness
hat,0.43600000000000005,0.22999999999999998,0.22999999999999998,0.22799999999999998,0.236,Happiness
music,0.852,0.32599999999999996,0.358,0.264,0.244,Happiness
moment,0.53,0.308,0.314,0.302,0.246,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
life,0.9119999999999999,0.356,0.4,0.404,0.272,Happiness
game little,0.706,0.378,0.318,0.294,0.24,Happiness
dark,0.362,0.32799999999999996,0.434,0.614,0.252,Fear
free hard,0.601,0.337,0.29,0.354,0.24900000000000003,Happiness
world,0.5860000000000001,0.32,0.366,0.352,0.308,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
time,0.414,0.356,0.39,0.43200000000000005,0.264,Fear
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003,Happiness
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003,Happiness
game watch,0.5529999999999999,0.31399999999999995,0.297,0.289,0.24900000000000003,Happiness
game watch,0.5529999999999999,0.31399999999999995,0.297,0.289,0.24900000000000003,Happiness
learn most,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003,Happiness
game watch,0.5529999999999999,0.31399999999999995,0.297,0.289,0.24900000000000003,Happiness
game watch,0.5529999999999999,0.31399999999999995,0.297,0.289,0.24900000000000003,Happiness
