A,B,C,D,E,F 
cook smile music music music mail music music music music music music life music mail music friend music music glass cook shadow profit cook hay music music music heart music music music music music friend music music heart music glass music not evil game learn love cook money cook custom life nice key favor patent not friend watch answer song time more disappoint cord home car like cord home car like market person profit most power most power most power most power most power most power most power earth good idea money money proud present foot time free annoy detail cook not month crown more cook cook face tree smile option smile face smile cook win more time hand destroy watch hand destroy win black pencil watch watch moment watch dream invest cheer month shadow detail not name cook food most egg unit like free market win more crime killer hat most part world rock window red food not cook cook cook cut watch face world never most letter crime killer crime killer spirit music air month month learn more learn rock news lawsuit more cook patent watch lost cut air month month learn more air month month learn more air month month learn more air month month learn more air month month learn more accident lost learn man detail blue win sin sin watch arm detail ship man face cook option cook thought not music good music music bright cook more cook love heart music music music love heart music music time watch interest love custom girl trust custom girl trust good thought not time car gift hat hat custom too cook milk boy alert danger save tree more more man man cook hard gift idea cook nice not interest plant hat time habit man reward watch dove moral skull dove man war hard watch watch slow win friend win friend win friend good win friend money patent watch patent interest music cook patent,0.5745366197183097,0.31792957746478906,0.31853098591549256,0.3237429577464791,0.27879014084507037
cook,0.596,0.27,0.24,0.26,0.242
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
life,0.9119999999999999,0.356,0.4,0.404,0.272
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
glass,0.378,0.272,0.282,0.368,0.23399999999999999
news cook shadow,0.4426666666666667,0.322,0.35733333333333334,0.3953333333333333,0.30066666666666664
cook hay,0.471,0.24900000000000003,0.23200000000000004,0.24699999999999997,0.248
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
heart music,0.7969999999999999,0.301,0.35300000000000004,0.28500000000000003,0.253
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
music,0.852,0.32599999999999996,0.358,0.264,0.244
heart music,0.7969999999999999,0.301,0.35300000000000004,0.28500000000000003,0.253
very,0,0,0,0,0
glass,0.378,0.272,0.282,0.368,0.23399999999999999
music,0.852,0.32599999999999996,0.358,0.264,0.244
not evil game,0.75,0.30700000000000005,0.362,0.251,0.341
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244
cook,0.596,0.27,0.24,0.26,0.242
money,0.8460000000000001,0.41200000000000003,0.384,0.404,0.40599999999999997
cook,0.596,0.27,0.24,0.26,0.242
happy happy life,0.9279999999999998,0.2626666666666667,0.28933333333333333,0.2826666666666667,0.23733333333333337
nice key,0.6379999999999999,0.24400000000000005,0.238,0.23899999999999996,0.225
favor patent,0.488,0.263,0.24699999999999997,0.267,0.252
not,0,0,0,0,0
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
watch answer,0.43499999999999994,0.267,0.273,0.292,0.24000000000000005
material,0.40800000000000003,0.296,0.288,0.27,0.312
more,0,0,0,0,0
lightning home office car like,0.576,0.35500000000000004,0.3315,0.40199999999999997,0.2695
lightning home office car like,0.576,0.35500000000000004,0.3315,0.40199999999999997,0.2695
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
most powerful,0.6012,0.28800000000000003,0.23040000000000002,0.40499999999999997,0.2358
earth good idea,0.74,0.2793333333333334,0.296,0.29733333333333334,0.2686666666666666
money money,0.8460000000000001,0.41200000000000003,0.384,0.404,0.40599999999999997
happy proud,0.7859999999999999,0.263,0.246,0.269,0.23600000000000004
foot,0.32599999999999996,0.264,0.254,0.268,0.47000000000000003
time,0.414,0.356,0.39,0.43200000000000005,0.264
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
little,0,0,0,0,0
cook,0.596,0.27,0.24,0.26,0.242
more,0,0,0,0,0
cook,0.596,0.27,0.24,0.26,0.242
cook,0.596,0.27,0.24,0.26,0.242
face,0.624,0.368,0.4,0.372,0.348
tree,0.516,0.22400000000000003,0.22799999999999998,0.23399999999999999,0.21200000000000002
option,0.5780000000000001,0.264,0.238,0.314,0.21600000000000003
face,0.624,0.368,0.4,0.372,0.348
cook,0.596,0.27,0.24,0.26,0.242
more time,0.207,0.178,0.195,0.21600000000000003,0.132
hand grenade,0.30300000000000005,0.433,0.389,0.483,0.346
watch,0.4,0.25,0.27599999999999997,0.284,0.258
little,0,0,0,0,0
hand grenade,0.30300000000000005,0.433,0.389,0.483,0.346
win,0.874,0.27,0.264,0.27,0.23399999999999999
black pencil,0.273,0.413,0.422,0.404,0.337
pancakes,0.788,0.22799999999999998,0.244,0.21600000000000003,0.266
watch,0.4,0.25,0.27599999999999997,0.284,0.258
watch,0.4,0.25,0.27599999999999997,0.284,0.258
moment,0.53,0.308,0.314,0.302,0.246
