A,B,C,D,E,F 
dog dog python python much python most learn python python python like killer python python learn python python python learn python python quick python python python python python python python python python python python not not not boy python python face python python like python python python god python learn python learn python learn python learn python learn python learn python learn python learn,0.38287017543859675,0.3395719298245617,0.3118807017543859,0.5922,0.4090736842105264
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
much,0,0,0,0,0
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
computer most python,0.38689999999999997,0.33520000000000005,0.26580000000000004,0.4625,0.35710000000000003
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
building python,0.298,0.292,0.271,0.49499999999999994,0.364
like people,0.5008,0.3056,0.304,0.3088,0.2752
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
quick chance,0.55,0.28500000000000003,0.297,0.366,0.253
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
chance,0.5940000000000001,0.304,0.33199999999999996,0.45,0.27799999999999997
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
boy,0.5980000000000001,0.33399999999999996,0.34199999999999997,0.34199999999999997,0.32
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
face python,0.44299999999999995,0.352,0.352,0.541,0.413
python like,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
building python,0.298,0.292,0.271,0.49499999999999994,0.364
building python,0.298,0.292,0.271,0.49499999999999994,0.364
building python,0.298,0.292,0.271,0.49499999999999994,0.364
god,0.784,0.27599999999999997,0.282,0.378,0.21800000000000003
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
