A,B,C,D,E,F 
learn learn world learn quick learn quick earth learn learn vision custom learn learn learn learn learn serious serious learn learn learn learn learn learn attract market attract soft market learn learn learn learn wonder learn tool nice field learn wonder learn learn learn learn learn learn learn learn cell learn learn learn learn glass learn glass less not more game learn game learn learn paper learn learn learn learn learn learn space learn learn space learn part not learn tool market learn learn learn learn learn learn learn learn tool learn game learn learn learn learn learn learn game learn learn banner learn like python learn learn tool learn tool learn tool learn tool learn tool learn tool learn tool tool learn learn learn learn game learn invest game learn learn invest learn learn learn learn learn learn learn most book most book most book most book most book most book enjoy learn learn python learn python python python context context learn world learn car learn music learn learn learn quick enjoy python python python python python learn most learn learn game cancer most learn tool learn learn most most most most more time interest like more learn learn learn python most not part not part not paper learn quick music learn car context tool context learn context part tool car music learn car part not part not music learn music learn learn most learn quick learn quick paper part learn learn more more death learn destroy death learn destroy part not part not learn learn most not python learn learn learn learn tool learn time cut time more interest like more time time cut time cut time python cut time cut time cut time learn learn learn learn learn python python tool learn learn flower tool tool tool learn learn more tool learn world learn time good adult learn time malaria cell mind python learn learn learn learn learn time malaria cell much more hard cancer learn hard cancer learn learn learn learn learn world learn adult time good learn learn learn learn world learn world learn world learn learn learn learn learn time learn learn time learn journal tower not learn tower not tower not learn learn tower not tower not learn learn learn patent learn quick part part learn learn progress not learn learn not not learn learn not learn learn cell cell detail learn flower market market detail win custom win custom free not option detail detail detail market cancer cancer paper paper market python paper python learn flower learn part time good time learn like learn hard learn hard learn hard learn hard like like learn like learn learn trust win learn part like win like like like win win trust trust win learn part trust trust win learn part like like learn learn face learn triumph learn space learn learn learn learn learn more triumph learn most most most most learn more learn learn learn more learn face face dog cat much more watch much more much more learn strong watch learn learn learn world learn white paper learn power world learn paper tumor power time good time learn world learn interest python python python python python python book learn book learn book learn book learn space python trust hope learn learn learn most power person learn learn music progress more kick learn learn kick kick trust more trust kick trust trust trust most power person music most power person learn learn learn watch love learn time bird malaria learn python part paper detail detail watch learn car tank learn learn car tank car tank learn learn learn learn car tank malaria learn watch fat lie time learn news learn learn watch malaria learn malaria learn watch fat lie time learn malaria learn malaria learn watch watch watch malaria learn present idea learn not like more tool learn not not python python python python most face learn good most most most paper learn hit not learn learn hit face face learn good good good unit unit unit face most learn face learn most learn ship truck ship truck learn learn ship truck learn hard learn learn hard humor learn learn learn good learn like learn method honey paper more interest learn learn paper paper paper learn social learn cook learn cook learn paper learn learn cook learn social learn social learn learn learn learn too much time learn learn social learn social learn social most idea learn market learn paper stupid hand learn fun learn learn learn paper hand learn learn power power power paper,0.5753740963855394,0.345338855421688,0.3308984939759027,0.3710614457831332,0.28210060240963936
table,0.306,0.22400000000000003,0.21800000000000003,0.22400000000000003,0.22200000000000003
world,0.5860000000000001,0.32,0.366,0.352,0.308
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225
learn quick,0.606,0.30300000000000005,0.28300000000000003,0.307,0.225
earth,0.724,0.33999999999999997,0.394,0.386,0.33799999999999997
vision,0.616,0.272,0.262,0.294,0.23399999999999999
confident,0.764,0.244,0.242,0.258,0.22400000000000003
confident,0.764,0.244,0.242,0.258,0.22400000000000003
confident,0.764,0.244,0.242,0.258,0.22400000000000003
attract,0,0,0,0,0
attract,0,0,0,0,0
soft,0.742,0.22999999999999998,0.25,0.23399999999999999,0.21600000000000003
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
wonder,0.644,0.242,0.27599999999999997,0.32,0.238
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
nice field,0.667,0.233,0.242,0.24699999999999997,0.225
wonder,0.644,0.242,0.27599999999999997,0.32,0.238
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
machine,0.37,0.33799999999999997,0.27599999999999997,0.364,0.27799999999999997
glass,0.378,0.272,0.282,0.368,0.23399999999999999
glass,0.378,0.272,0.282,0.368,0.23399999999999999
less not more,0,0,0,0,0
game,0.706,0.378,0.318,0.294,0.24
