A,B,C,D,E,F 
pie pie pie love not pie more more pie pie detail pie pie pie pie pie pie detail pie pie pie more most more pie pie pie more pie pie pie more pie more more more more more more pie more more more pie more more more more more more more more more more more more more more more more more more more more pie more more more more more more pie pie pie pie pie pie window honor pie detail pie more more more pie pie more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more pie pie pie pie pie pie more more more more more more more more more pie bird dream pie pie pie pie progress pie pie pie bar more pie pie pie pie not pie window pie,0.8272727272727283,0.29627272727272724,0.2922272727272726,0.28742424242424214,0.3128030303030302
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
not,0,0,0,0,0
pie,0.772,0.244,0.238,0.23199999999999998,0.266
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
more,0,0,0,0,0
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
more,0,0,0,0,0
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
pie pie,0.772,0.244,0.238,0.23199999999999998,0.266
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
pie,0.772,0.244,0.238,0.23199999999999998,0.266
more,0,0,0,0,0
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
most,0,0,0,0,0
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
more,0,0,0,0,0
