A,B,C,D,E,F 
movie,0.786,0.346,0.426,0.386,0.33199999999999996
queen storm boy,0.542,0.34199999999999997,0.31933333333333336,0.38999999999999996,0.27799999999999997
movie,0.786,0.346,0.426,0.386,0.33199999999999996
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
song,0.8099999999999999,0.346,0.43,0.286,0.262
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news killer,0.31500000000000006,0.627,0.609,0.6639999999999999,0.5740000000000001
news hate hate comedy,0.24733333333333332,0.6626666666666666,0.638,0.6286666666666666,0.5933333333333333
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news life time,0.5846666666666667,0.3766666666666667,0.4266666666666667,0.434,0.318
man star,0.728,0.30700000000000005,0.302,0.3,0.281
home,0.82,0.284,0.346,0.264,0.244
song,0.8099999999999999,0.346,0.43,0.286,0.262
movie,0.786,0.346,0.426,0.386,0.33199999999999996
love memory history,0.672,0.3466666666666667,0.4226666666666667,0.36733333333333335,0.29600000000000004
part,0.316,0.256,0.298,0.274,0.252
never,0,0,0,0,0
office,0.38,0.42800000000000005,0.388,0.378,0.33999999999999997
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998
not,0,0,0,0,0
woman red,0.585,0.40700000000000003,0.323,0.37,0.266
movie,0.786,0.346,0.426,0.386,0.33199999999999996
sun,0.8480000000000001,0.264,0.242,0.27599999999999997,0.22799999999999998
more,0,0,0,0,0
movie,0.786,0.346,0.426,0.386,0.33199999999999996
good color,0.789,0.251,0.258,0.263,0.236
dawn,0.666,0.25,0.27799999999999997,0.262,0.23399999999999999
serious game,0.49799999999999994,0.38099999999999995,0.343,0.344,0.24900000000000003
world,0.5860000000000001,0.32,0.366,0.352,0.308
comedy,0.89,0.242,0.22400000000000003,0.21600000000000003,0.242
month,0.33199999999999996,0.236,0.242,0.252,0.22799999999999998
family,0.922,0.294,0.3,0.248,0.21800000000000003
party chaos,0.563,0.368,0.28200000000000003,0.377,0.29500000000000004
lost,0.268,0.48600000000000004,0.58,0.6940000000000001,0.33199999999999996
city,0.63,0.27999999999999997,0.258,0.358,0.258
watch,0.4,0.25,0.27599999999999997,0.284,0.258
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997
dark,0.362,0.32799999999999996,0.434,0.614,0.252
hope comedy movie,0.83,0.2693333333333333,0.30666666666666664,0.2886666666666667,0.26466666666666666
movie,0.786,0.346,0.426,0.386,0.33199999999999996
humor,0.8939999999999999,0.22999999999999998,0.244,0.238,0.252
most,0,0,0,0,0
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997
good comedy movie,0.8533333333333334,0.27399999999999997,0.29266666666666663,0.2813333333333333,0.26666666666666666
movie,0.786,0.346,0.426,0.386,0.33199999999999996
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
movie,0.786,0.346,0.426,0.386,0.33199999999999996
movie,0.786,0.346,0.426,0.386,0.33199999999999996
massacre,0.20400000000000001,0.77,0.788,0.758,0.7
movie,0.786,0.346,0.426,0.386,0.33199999999999996
office,0.38,0.42800000000000005,0.388,0.378,0.33999999999999997
movie,0.786,0.346,0.426,0.386,0.33199999999999996
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997
office,0.38,0.42800000000000005,0.388,0.378,0.33999999999999997
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
most,0,0,0,0,0
dead movie,0.522,0.41500000000000004,0.564,0.51,0.366
market market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
kids grateful,0.8390000000000001,0.27799999999999997,0.271,0.279,0.231
movie,0.786,0.346,0.426,0.386,0.33199999999999996
office,0.38,0.42800000000000005,0.388,0.378,0.33999999999999997
movie,0.786,0.346,0.426,0.386,0.33199999999999996
movie,0.786,0.346,0.426,0.386,0.33199999999999996
poster,0.476,0.248,0.242,0.22999999999999998,0.246
movie,0.786,0.346,0.426,0.386,0.33199999999999996
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997
movie,0.786,0.346,0.426,0.386,0.33199999999999996
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
movie,0.786,0.346,0.426,0.386,0.33199999999999996
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
movie,0.786,0.346,0.426,0.386,0.33199999999999996
glass movie movie,0.65,0.32133333333333336,0.378,0.38,0.29933333333333334
movie,0.786,0.346,0.426,0.386,0.33199999999999996
movie,0.786,0.346,0.426,0.386,0.33199999999999996
queen history,0.49000000000000005,0.294,0.3,0.30300000000000005,0.274
bird,0.5519999999999999,0.22400000000000003,0.22999999999999998,0.246,0.252
movie,0.786,0.346,0.426,0.386,0.33199999999999996
watch,0.4,0.25,0.27599999999999997,0.284,0.258
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
beautiful family space,0.7786666666666667,0.26,0.28800000000000003,0.29333333333333333,0.22533333333333333
christmas,0.932,0.25,0.308,0.22799999999999998,0.24
movie office,0.583,0.387,0.40700000000000003,0.382,0.33599999999999997
air free,0.7270000000000001,0.223,0.227,0.254,0.229
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
time not love,0.23500000000000001,0.508,0.479,0.511,0.51
slow burn,0.265,0.501,0.43499999999999994,0.492,0.40099999999999997
hope enjoy,0.8140000000000001,0.22000000000000003,0.27,0.264,0.22000000000000003
life,0.9119999999999999,0.356,0.4,0.404,0.272
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
watch free,0.636,0.24,0.253,0.275,0.238
watch,0.4,0.25,0.27599999999999997,0.284,0.258
time not,0.414,0.356,0.39,0.43200000000000005,0.264
movie,0.786,0.346,0.426,0.386,0.33199999999999996
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
like,0,0,0,0,0
movie,0.786,0.346,0.426,0.386,0.33199999999999996
movie,0.786,0.346,0.426,0.386,0.33199999999999996
party,0.8619999999999999,0.252,0.248,0.27599999999999997,0.252
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997
watch free,0.636,0.24,0.253,0.275,0.238
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
more,0,0,0,0,0
world,0.5860000000000001,0.32,0.366,0.352,0.308
most part,0.28440000000000004,0.23040000000000002,0.2682,0.2466,0.22680000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
music,0.852,0.32599999999999996,0.358,0.264,0.244
world nightmare,0.399,0.41200000000000003,0.453,0.577,0.367
song mind,0.704,0.365,0.41500000000000004,0.35700000000000004,0.30700000000000005
boy,0.5980000000000001,0.33399999999999996,0.34199999999999997,0.34199999999999997,0.32
movie,0.786,0.346,0.426,0.386,0.33199999999999996
horror,0.236,0.41200000000000003,0.41600000000000004,0.764,0.392
movie,0.786,0.346,0.426,0.386,0.33199999999999996
movie,0.786,0.346,0.426,0.386,0.33199999999999996
horror,0.236,0.41200000000000003,0.41600000000000004,0.764,0.392
horror,0.236,0.41200000000000003,0.41600000000000004,0.764,0.392
red power,0.575,0.406,0.28099999999999997,0.43200000000000005,0.279
time,0.414,0.356,0.39,0.43200000000000005,0.264
movie,0.786,0.346,0.426,0.386,0.33199999999999996
woman legend,0.6060000000000001,0.29,0.317,0.31799999999999995,0.24699999999999997
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
comedy comedy,0.89,0.242,0.22400000000000003,0.21600000000000003,0.242
art star quite woman,0.5873333333333334,0.4073333333333334,0.418,0.40066666666666667,0.42733333333333334
watch,0.4,0.25,0.27599999999999997,0.284,0.258
song mind,0.704,0.365,0.41500000000000004,0.35700000000000004,0.30700000000000005
song mind,0.704,0.365,0.41500000000000004,0.35700000000000004,0.30700000000000005
more more,0,0,0,0,0
good too good,0.7071999999999999,0.18719999999999998,0.18239999999999998,0.1936,0.1808
kind,0.834,0.22200000000000003,0.22200000000000003,0.20600000000000002,0.21000000000000002
time,0.414,0.356,0.39,0.43200000000000005,0.264
loved loved loved,0.954,0.228,0.2700000000000001,0.296,0.21000000000000002
movie,0.786,0.346,0.426,0.386,0.33199999999999996
fall sleep,0.693,0.273,0.29900000000000004,0.302,0.24299999999999997
movie,0.786,0.346,0.426,0.386,0.33199999999999996
custom,0.442,0.242,0.256,0.236,0.23399999999999999
movie news,0.607,0.382,0.458,0.426,0.375
people love,0.7849999999999999,0.361,0.406,0.39799999999999996,0.294
movie,0.786,0.346,0.426,0.386,0.33199999999999996
like,0,0,0,0,0
office,0.38,0.42800000000000005,0.388,0.378,0.33999999999999997
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
movie,0.786,0.346,0.426,0.386,0.33199999999999996
dawn,0.666,0.25,0.27799999999999997,0.262,0.23399999999999999
movie,0.786,0.346,0.426,0.386,0.33199999999999996
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
fear,0.22400000000000003,0.454,0.504,0.874,0.32799999999999996
watch like,0.4,0.25,0.27599999999999997,0.284,0.258
any,0,0,0,0,0
movie,0.786,0.346,0.426,0.386,0.33199999999999996
not,0,0,0,0,0
not,0,0,0,0,0
time,0.414,0.356,0.39,0.43200000000000005,0.264
world,0.5860000000000001,0.32,0.366,0.352,0.308
world,0.5860000000000001,0.32,0.366,0.352,0.308
world,0.5860000000000001,0.32,0.366,0.352,0.308
cat,0.5599999999999999,0.29,0.252,0.304,0.32999999999999996
death save movie,0.5806666666666666,0.4080000000000001,0.524,0.48933333333333334,0.3266666666666667
people love,0.7849999999999999,0.361,0.406,0.39799999999999996,0.294
more,0,0,0,0,0
music,0.852,0.32599999999999996,0.358,0.264,0.244
air free,0.7270000000000001,0.223,0.227,0.254,0.229
home,0.82,0.284,0.346,0.264,0.244
like good,0.7072,0.18719999999999998,0.18239999999999998,0.1936,0.1808
travel,0.772,0.244,0.258,0.366,0.22599999999999998
never,0,0,0,0,0
idea,0.612,0.264,0.266,0.264,0.242
never,0,0,0,0,0
palace,0.828,0.262,0.246,0.25,0.22599999999999998
death,0.25,0.632,0.8800000000000001,0.786,0.442
happy birthday,0.9289999999999999,0.22000000000000003,0.248,0.233,0.21800000000000003
music,0.852,0.32599999999999996,0.358,0.264,0.244
not nice,0.14600000000000007,0.7779999999999999,0.768,0.772,0.776
watch young,0.5720000000000001,0.294,0.31399999999999995,0.329,0.261
world,0.5860000000000001,0.32,0.366,0.352,0.308
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
movie,0.786,0.346,0.426,0.386,0.33199999999999996
movie,0.786,0.346,0.426,0.386,0.33199999999999996
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
like love addicted,0.5075999999999999,0.41000000000000003,0.4828,0.469,0.3876
office movie,0.583,0.387,0.40700000000000003,0.382,0.33599999999999997
time,0.414,0.356,0.39,0.43200000000000005,0.264
office movie,0.583,0.387,0.40700000000000003,0.382,0.33599999999999997
devil,0.2,0.706,0.572,0.746,0.678
baby part,0.6020000000000001,0.246,0.28700000000000003,0.309,0.246
