A,B,C,D,E,F 
answer answer answer answer good answer alert not alert like truth hurt truth hurt truth hurt truth hurt health health part health alert like context invest enjoy like more book invest alert not sick dead not answer sick dead not love part strong quick love person item answer answer answer answer answer alert answer world not beach answer news learn learn learn key trust key not not context trust trust love not event answer learn key key key learn learn win win win learn learn learn learn event learn learn learn learn learn learn key alert custom alert alert not answer bowl green bowl green key answer answer face power food food food success talent talent success hard key not talent talent success hard talent talent success hard angel method learn hell success alert success mind not tool boy option alert alert alert love more learn field learn answer alert social alert pain pain learn alert alert alert hope more not learn answer more learn more learn learn custom time learn more answer nice more answer world paper field learn field learn success health more time learn more love not love not alert love not option more more answer learn learn time learn more time learn more learn alert time time learn more time learn more option alert answer answer learn learn answer answer learn alert answer answer safe holiday answer answer alert learn learn not learn alert alert learn learn learn more learn more more learn learn learn learn learn learn learn alert learn learn learn answer learn learn learn answer alert game alert game not not alert not interest answer answer answer alert alert alert learn learn more most learn method most learn method most learn method more more key part alert answer answer most learn method not much like alert part most learn method most learn method alert custom alert social method time alert social answer answer answer song idea time time enjoy alert part part alert alert alert learn alert alert alert social alert social not alert person alert person time context more answer friend time time time time part alert respect answer alert answer answer answer answer answer wagon alert not more talent talent success hard talent talent success hard talent talent success hard talent talent success hard song answer love not love not free free free answer alert answer talent talent success hard talent talent success hard talent success answer answer answer answer alert alert answer answer tree alert answer answer answer answer answer answer good alert ocean like like answer answer answer answer answer answer answer answer answer answer enjoy learn answer answer answer answer good good answer alert answer answer answer answer answer answer enjoy learn enjoy learn enjoy answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer quick color tool too method part love not love not love not alert alert alert song love not love not respect alert alert alert alert interest interest interest alert hell alert respect alert interest friend custom song song love not love not alert proud friend more free time not alert custom learn time present alert save alert custom time alert custom time time time time bar nice name book opinion save name book nice alert interest interest alert proud friend more free learn free learn free never learn alert more proud more proud friend more free interest proud friend more free never learn never learn never learn method strong quick love nice nice most alert learn tool favor more alert name book alert custom good book more custom beach not hate hate most like time not answer good answer answer good answer answer good answer strong key time not key time not more field part space like like fear field field more radio learn field more street field context interest method much less like more like more hate hate much most key trust free more time option most more learn time part custom good good good alert custom alert learn answer good answer person answer good answer alert love love love moment alert free love love love not love not love not thought not time not time home interest like home detail method crash world respect detail method bowl green bland respect home learn slow slow alert learn learn learn learn alert interest like more learn learn good most progress key more more learn more learn method more not key treat more like tool hand good hit tool hand comfort comfort not learn less comfort comfort respect respect respect alert respect respect time food more learn learn custom method person person tornado learn tool key tornado learn tool learn tool tool dead dead love not love not part storm not alert python much more python python python python much more python not learn free learn free free like like bird like bird like like learn learn learn game game game game person person person game game game game method alert learn learn learn part learn alert alert present alert most cake cake cake part cake cake cake cake part person person method method method method alert love not not love not love not method method method not more world world world world world,0.5426906077348053,0.3296560773480655,0.3216955801104977,0.35832099447513815,0.28204723756906097
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998
computer answer,0.504,0.32599999999999996,0.264,0.293,0.253
alert,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256
not,0,0,0,0,0
alert like,0.40800000000000003,0.324,0.272,0.45999999999999996,0.256
