A,B,C,D,E,F 
friend,0.906,0.272,0.298,0.262,0.22599999999999998
talent too,0.796,0.236,0.246,0.27,0.22400000000000003
not,0,0,0,0,0
vehicle like,0.5980000000000001,0.33199999999999996,0.33199999999999996,0.40800000000000003,0.254
very thoughtful,0.41100000000000003,0.11599999999999999,0.131,0.11200000000000002,0.10900000000000001
hope,0.8140000000000001,0.22000000000000003,0.27,0.264,0.22000000000000003
like,0,0,0,0,0
beautiful rain,0.7150000000000001,0.3,0.368,0.27,0.269
home,0.82,0.284,0.346,0.264,0.244
earth,0.724,0.33999999999999997,0.394,0.386,0.33799999999999997
not,0,0,0,0,0
air,0.5820000000000001,0.21600000000000003,0.22400000000000003,0.242,0.24
more,0,0,0,0,0
sky,0.704,0.242,0.252,0.27599999999999997,0.22000000000000003
not,0,0,0,0,0
not,0,0,0,0,0
engaged safe,0.845,0.22999999999999998,0.24000000000000005,0.358,0.22199999999999998
not,0,0,0,0,0
like,0,0,0,0,0
good idea,0.748,0.24900000000000003,0.24699999999999997,0.253,0.23399999999999999
option,0.5780000000000001,0.264,0.238,0.314,0.21600000000000003
not cold pressure air,0.52,0.4246666666666667,0.4026666666666667,0.48333333333333334,0.42933333333333334
less any,0,0,0,0,0
luxury car,0.767,0.28300000000000003,0.263,0.304,0.261
like,0,0,0,0,0
watch,0.4,0.25,0.27599999999999997,0.284,0.258
cash,0.826,0.32,0.31,0.32799999999999996,0.32
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
not,0,0,0,0,0
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998
extremely,0,0,0,0,0
astronaut,0.572,0.22200000000000003,0.27999999999999997,0.40599999999999997,0.22200000000000003
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244
more,0,0,0,0,0
vehicle,0.5980000000000001,0.33199999999999996,0.33199999999999996,0.40800000000000003,0.254
good vehicle,0.741,0.28300000000000003,0.27999999999999997,0.325,0.24
not,0,0,0,0,0
month,0.33199999999999996,0.236,0.242,0.252,0.22799999999999998
life,0.9119999999999999,0.356,0.4,0.404,0.272
soft,0.742,0.22999999999999998,0.25,0.23399999999999999,0.21600000000000003
water,0.682,0.24,0.24,0.272,0.22799999999999998
like,0,0,0,0,0
very much,0,0,0,0,0
beautiful,0.9019999999999999,0.244,0.264,0.262,0.236
hope happy,0.875,0.21800000000000003,0.252,0.24300000000000002,0.22000000000000003
happy,0.9359999999999999,0.21600000000000003,0.23399999999999999,0.22200000000000003,0.22000000000000003
young,0.744,0.33799999999999997,0.352,0.374,0.264
good progress not,0.8039999999999999,0.229,0.22599999999999998,0.262,0.219
most,0,0,0,0,0
board,0.284,0.312,0.27599999999999997,0.27599999999999997,0.262
travel,0.772,0.244,0.258,0.366,0.22599999999999998
more loved most,0.477,0.11399999999999999,0.135,0.148,0.10500000000000001
time,0.414,0.356,0.39,0.43200000000000005,0.264
vehicle,0.5980000000000001,0.33199999999999996,0.33199999999999996,0.40800000000000003,0.254
most people easy travel most,0.7064666666666667,0.2699333333333333,0.27666666666666667,0.3171333333333333,0.2512
home,0.82,0.284,0.346,0.264,0.244
vehicle,0.5980000000000001,0.33199999999999996,0.33199999999999996,0.40800000000000003,0.254
most car time,0.5301,0.3247,0.3255,0.3888,0.24720000000000003
much less less,0,0,0,0,0
merry christmas,0.9039999999999999,0.23200000000000004,0.26799999999999996,0.22199999999999998,0.22800000000000004
hope good holiday,0.8773333333333333,0.23,0.2626666666666667,0.2486666666666667,0.22133333333333335
like,0,0,0,0,0
much less,0,0,0,0,0
too paint,0.294,0.1656,0.1512,0.1464,0.1452
hard,0.32999999999999996,0.44400000000000006,0.35,0.442,0.27999999999999997
people surprised learn,0.6880000000000001,0.336,0.3206666666666667,0.366,0.26466666666666666
earth,0.724,0.33999999999999997,0.394,0.386,0.33799999999999997
space progress more time,0.481,0.21466666666666667,0.23966666666666667,0.28933333333333333,0.18866666666666668
engine engine burn,0.29133333333333333,0.348,0.316,0.38999999999999996,0.3186666666666667
