Abc,1,2,3,4,5,,
extension firefox,0,0,0,0,0,,
    extension  firefox,0,0,0,0,0,,
   65,0,0,0,0,0,,
    extension is now freely available for firefox,0,0,0,0,0,,
    extension is now freely available for firefox,0,0,0,0,0,,
    extension is now freely available for firefox,0,0,0,0,0,,
 cryptotab browser is my browser cash machine,0.897,0.4935,0.4395,0.519,0.4485,,
 the animal on the firefox logo is not a fox  it's a red panda,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
 same,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
  65 to show  used in   attacks,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
   all  releases(android for msm,  os for msm, qrd android) contains vulnerabiilty in  component,0.5614,0.4687,0.6459,0.5558,0.6657
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension is now freely available for firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
   here is more details,0.7614,0.6687,0.8459,0.7558,0.8657,,
    extension is now freely available for firefox,0.7614,0.6687,0.8459,0.7558,0.8657,,
    extension is now freely available for firefox,0.7614,0.6687,0.8459,0.7558,0.8657,,
    extension is now freely available for firefox,0.7614,0.6687,0.8459,0.7558,0.8657,,
   update free now cryptotab browser is my browser cash machine,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
    extension is now freely available for firefox,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
    extension is now freely available for firefox,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
    extension is now freely available for firefox,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
 update free now cryptotab browser is my browser cash machine,0.371028444,0.160838667,0.148826222,0.173670222,0.148914222,,
   here is more details,0.571028444,0.360838667,0.348826222,0.373670222,0.348914222,,
 meer's world how to update mozilla firefox? | how to check fire,0.272602844,0.242583867,0.273382622,0.301867022,0.203891422,,
   here is more details,0.472602844,0.442583867,0.473382622,0.501867022,0.403891422,,
 hey   why isn't   not enabled by default in  ?,-0.327397156,-0.357416133,-0.326617378,-0.298132978,-0.396108578,,
   here is more details,-0.127397156,-0.157416133,-0.126617378,-0.098132978,-0.196108578,,
 here is more details,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422,,
    extension is now freely available for firefox,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422,,
    extension is now freely available for firefox,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422,,
    extension is now freely available for firefox,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422,,
    extension is now freely available for firefox,0.072602844,0.042583867,0.073382622,0.101867022,0.003891422,,
 get free bitcoin every day,0.142520569,0.778516773,0.784676524,0.754373404,0.782778284,,
 get free bitcoin every day,1.028504114,1.155703355,1.156935305,1.150874681,1.156555657,,
 get free bitcoin every day,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
    65 will display  certificates used in maninhemiddle attacks,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
   boost your earnings up to 8x with our new cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
   boost your earnings up to 8x with our new cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
   boost your earnings up to 8x with our new cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
    extension is now freely available for firefox,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
 boost your earnings up to 8x with our new cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
 boost your earnings up to 8x with our new cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
 boost your earnings up to 8x with our new cryptotab browser,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
  65 will display  certificates used in maninhemiddle attacks,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
    extension is now freely available for firefox,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
 i've used 100  container tabs,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
    extension is now freely available for firefox,1.205700823,1.231140671,1.231387061,1.230174936,1.231311131,,
   did do slightly better in our speed tests and proved to be much more secure than,0.707140165,0.419228134,0.435277412,0.457034987,0.420262226,,
   for those single people out there looking for love, if  is brave enough, surely you are too?,0.400714016,0.200922813,0.199027741,0.230203499,0.180526223
    extension is now freely available for firefox,0.400714016,0.200922813,0.199027741,0.230203499,0.180526223,,
    extension is now freely available for firefox,0.400714016,0.200922813,0.199027741,0.230203499,0.180526223,,
    extension now freely available firefox,0,0,0,0,0,,
    extension now freely available firefox,0,0,0,0,0,,
   65,0,0,0,0,0,,
    extension now freely available firefox,0,0,0,0,0,,
    extension now freely available firefox,0,0,0,0,0,,
    extension now freely available firefox,0,0,0,0,0,,
 cryptotab browser my browser cash machine,0.897,0.4935,0.4395,0.519,0.4485,,
 animal on firefox logo not a fox  it's a red panda,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
 same,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
  65 to show  used in   attacks,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
   all  releases(android msm,  os msm, qrd android) contains vulnerabiilty in  component,0.5614,0.4687,0.6459,0.5558,0.6657
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
    extension now freely available firefox,0.5614,0.4687,0.6459,0.5558,0.6657,,
   here more details,0.7614,0.6687,0.8459,0.7558,0.8657,,
    extension now freely available firefox,0.7614,0.6687,0.8459,0.7558,0.8657,,
    extension now freely available firefox,0.7614,0.6687,0.8459,0.7558,0.8657,,
    extension now freely available firefox,0.7614,0.6687,0.8459,0.7558,0.8657,,
   update free now cryptotab browser my browser cash machine,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
    extension now freely available firefox,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
    extension now freely available firefox,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
    extension now freely available firefox,0.395426667,0.19258,0.192393333,0.210053333,0.193713333,,
 update free now cryptotab browser my browser cash machine,0.371028444,0.160838667,0.148826222,0.173670222,0.148914222,,
   here more details,0.571028444,0.360838667,0.348826222,0.373670222,0.348914222,,
 meer's world how to update mozilla firefox? | how to check fire,0.272602844,0.242583867,0.273382622,0.301867022,0.203891422,,
   here more details,0.472602844,0.442583867,0.473382622,0.501867022,0.403891422,,
