abc,B,C,D,E,F
more protected,0.41100000000000003,0.124,0.133,0.147,0.10800000000000001
cash machine,0.5980000000000001,0.329,0.293,0.346,0.29900000000000004
thought,0.564,0.384,0.398,0.394,0.344
more,0,0,0,0,0
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
more secure,0.40599999999999997,0.11299999999999999,0.129,0.151,0.11399999999999999
fire,0.27599999999999997,0.506,0.588,0.706,0.368
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
fire,0.27599999999999997,0.506,0.588,0.706,0.368
fire,0.27599999999999997,0.506,0.588,0.706,0.368
fire,0.27599999999999997,0.506,0.588,0.706,0.368
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998
sexy,0.836,0.242,0.26,0.246,0.23399999999999999
free cash machine,0.6893333333333334,0.296,0.272,0.31933333333333336,0.272
much not,0,0,0,0,0
money,0.8460000000000001,0.41200000000000003,0.384,0.404,0.40599999999999997
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998
coin,0.44800000000000006,0.24,0.22799999999999998,0.22400000000000003,0.24
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998
happy,0.9359999999999999,0.21600000000000003,0.23399999999999999,0.22200000000000003,0.22000000000000003
history,0.4,0.3,0.34199999999999997,0.308,0.306
history,0.4,0.3,0.34199999999999997,0.308,0.306
happy,0.9359999999999999,0.21600000000000003,0.23399999999999999,0.22200000000000003,0.22000000000000003
people spirit,0.6839999999999999,0.33099999999999996,0.33399999999999996,0.34199999999999997,0.304
people spirit,0.6839999999999999,0.33099999999999996,0.33399999999999996,0.34199999999999997,0.304
spirit,0.742,0.27999999999999997,0.288,0.298,0.264
