A,B,C,D,E,F 
family,0.922,0.294,0.3,0.248,0.21800000000000003
mind mind,0.5980000000000001,0.384,0.4,0.42800000000000005,0.352
advantage social,0.705,0.27,0.256,0.298,0.23200000000000004
engine watch,0.36100000000000004,0.246,0.25199999999999995,0.273,0.26
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25
tool,0.316,0.266,0.242,0.27,0.246
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
mail,0.708,0.27599999999999997,0.27,0.284,0.23399999999999999
money not,0.8460000000000001,0.41200000000000003,0.384,0.404,0.40599999999999997
tool,0.316,0.266,0.242,0.27,0.246
more news,0.21400000000000002,0.209,0.24500000000000002,0.233,0.209
more news,0.21400000000000002,0.209,0.24500000000000002,0.233,0.209
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
more,0,0,0,0,0
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
plant,0.5,0.23399999999999999,0.22999999999999998,0.236,0.21800000000000003
more,0,0,0,0,0
name,0.508,0.298,0.27799999999999997,0.264,0.252
music,0.852,0.32599999999999996,0.358,0.264,0.244
more,0,0,0,0,0
name,0.508,0.298,0.27799999999999997,0.264,0.252
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
like like,0,0,0,0,0
family water,0.8019999999999999,0.267,0.27,0.26,0.223
advantage social,0.705,0.27,0.256,0.298,0.23200000000000004
more,0,0,0,0,0
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
more,0,0,0,0,0
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
man,0.6679999999999999,0.396,0.362,0.36,0.33999999999999997
market,0.426,0.288,0.27799999999999997,0.296,0.27799999999999997
advantage social,0.705,0.27,0.256,0.298,0.23200000000000004
like like,0,0,0,0,0
social,0.734,0.246,0.26,0.33199999999999996,0.21600000000000003
never never,0,0,0,0,0
social,0.734,0.246,0.26,0.33199999999999996,0.21600000000000003
vacation enjoyment,0.9189999999999999,0.21200000000000002,0.223,0.22000000000000003,0.21400000000000002
any,0,0,0,0,0
beautiful,0.9019999999999999,0.244,0.264,0.262,0.236
abortion,0.254,0.5660000000000001,0.746,0.584,0.602
time,0.414,0.356,0.39,0.43200000000000005,0.264
like like quality,1.136,0.46399999999999997,0.4288,0.4032,0.4064
like,0,0,0,0,0
like like,0,0,0,0,0
sad woman,0.469,0.403,0.617,0.404,0.29900000000000004
letter,0.584,0.264,0.296,0.296,0.242
powerful,0.6679999999999999,0.32,0.256,0.45,0.262
travel,0.772,0.244,0.258,0.366,0.22599999999999998
any,0,0,0,0,0
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294
not rejected save time,0.6366666666666667,0.30066666666666664,0.29133333333333333,0.3446666666666667,0.3566666666666667
more,0,0,0,0,0
home,0.82,0.284,0.346,0.264,0.244
social,0.734,0.246,0.26,0.33199999999999996,0.21600000000000003
like world like,0.46880000000000005,0.25600000000000006,0.29280000000000006,0.2816,0.24640000000000004
like world like,0.46880000000000005,0.25600000000000006,0.29280000000000006,0.2816,0.24640000000000004
like world like,0.46880000000000005,0.25600000000000006,0.29280000000000006,0.2816,0.24640000000000004
office,0.38,0.42800000000000005,0.388,0.378,0.33999999999999997
birthday,0.922,0.22400000000000003,0.262,0.244,0.21600000000000003
kids book,0.736,0.365,0.35300000000000004,0.364,0.305
free game,0.789,0.304,0.274,0.27999999999999997,0.229
free game,0.789,0.304,0.274,0.27999999999999997,0.229
nun,0.46399999999999997,0.27799999999999997,0.322,0.27,0.24
door,0.346,0.306,0.282,0.308,0.264
hat,0.43600000000000005,0.22999999999999998,0.22999999999999998,0.22799999999999998,0.236
social,0.734,0.246,0.26,0.33199999999999996,0.21600000000000003
home office,0.6,0.356,0.367,0.321,0.292
adventure,0.744,0.21600000000000003,0.21800000000000003,0.446,0.21000000000000002
answer,0.47000000000000003,0.284,0.27,0.3,0.22200000000000003
criminal hate hate despise free,0.5165,0.48949999999999994,0.484,0.5485,0.48200000000000004
white hat,0.47400000000000003,0.229,0.24100000000000002,0.22799999999999998,0.233
social,0.734,0.246,0.26,0.33199999999999996,0.21600000000000003
any,0,0,0,0,0
home office,0.6,0.356,0.367,0.321,0.292
sin,0.23399999999999999,0.544,0.562,0.5660000000000001,0.538
engine,0.322,0.242,0.22799999999999998,0.262,0.262
engine,0.322,0.242,0.22799999999999998,0.262,0.262
any very slow,0.15,0.221,0.189,0.16899999999999998,0.185
answer,0.47000000000000003,0.284,0.27,0.3,0.22200000000000003
bold,0.512,0.354,0.274,0.33799999999999997,0.274
more,0,0,0,0,0
news like,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
