A,B,C,D,E,F 
learn arm dump like arm like arm nice nice python power name name name name arm coin game coin game name python free much much more name name name name arm love opinion love opinion free power power news world world learn learn not not not not custom custom slow power writer writer money power name name arm good arm treat flag arm kick learn power option door hit free learn not learn more event learn learn not not not learn learn power option door option learn watch watch watch much dark not hit watch hit hit time option arm power market ocean much much more learn learn power name name column cut learn learn social learn power good time time most time time python time ship learn ship ship python learn watch rude offend watch rude offend ship key learn watch rude offend key arm power ship python social social ship learn name option ship ship ship power free money time safe red hat red hat learn learn money learn learn social learn tool learn learn learn world red hat context option arm enjoy much much more event field save learn arm good power learn power not not not free free option option not not much much more arm free key key key learn safe context context learn learn world learn world learn crash sin arm sin learn power good learn learn learn like learn more answer learn more answer arm learn more answer free power power like not not learn broken love more learn learn red red safe free learn much much more learn arm panic arm good fire good fire clock arm clock tree learn python python world world python arm board arm board world world world power learn event event world window arm arm nice nice respect nice nice respect python python more window game window game python learn python space love more learn python flag arm name free free world world world not event event event python python jail jail python sleep context method world world world world clock delight delight game python python love more python python python tool python option python python love more game hide game hide python love more python invest python fault arm horror python python python python python corrupt love more python angel python python python like love more sin love more talent talent game python context power love more love more love more name gold not python arm much much more danger option power writer option option jail python pie option clock power option present free option option more danger danger learn power python tree present not window quick free quick free quick free arm python python pie option flag learn learn destroy free writer writer window writer writer writer writer writer free writer free free writer free python arm event power power progress clock power game hate hate more python not part much much more enjoy custom hit enjoy custom python destroy shadow too key free window tower time game time game game window game most most window game present person sleep arm tool tree window enjoy custom python sleep arm arm window quick python news arm part mail fault not hit tree window hit window window context arm hit part hit free hit hit hit hit hit news success arm clock door door door door python power python python python key arm game arm arm python arm arm power good power good power good python arm power more learn news news python python arm power power arm game python arm arm home home wise mail door door sleep good good power good wise mail python rotten spirit context not not python python not python door not hell not tree tree tree tree hide dump fabric much much more fabric free python python power arm free unit unit unit python unit python arm power birthday power power python kind good much much more writer writer python kind music enjoy learn arm part love writer writer learn python option context power power power tool tool python python not not arm space not not much much more much much more power fraud python learn more event learn more mail python option arm young part arm tool power power power power learn more event learn more event python name name context method enjoy power love window power python power free learn power python pie arm free power window game window game python python python progress world part world part like window event event most power python progress progress music unit python fraud python fraud python power python python option power python python window python python more face face like window much much more power fork child child much much more power fraud power fraud power power power power not game power window fraud fraud power fraud fraud clock space power free lost not not clock time good game game most game arm arm arm arm arm option window arm relax game game writer writer writer tree learn flag flag flag flag flag answer arm window answer answer fault fault fault arm tree power nice good game window not interest tool arm interest tool like window window writer writer writer writer writer free free writer free writer writer writer writer writer writer writer free writer good flag window tree tree tree tree tree quick tune part life life interest tool part game part arm arm board learn free game game like window power like window like window like window learn arm arm power like cut like cut power power power time learn time learn arm soft soft soft success nice success event free event event free event time learn name time learn learn learn much much more month learn learn context cat cat cat cat cat cat cat cat cat cat cat cat cat rock rock crude hammer power game not arm power power power window power power friend part friend part book free free power nice power nice power nice more free more free power power arm power arm arm life much much more power tool tool space life arm life game life game life game power life life world love love most broken arm watch watch power game game tool crash power power world love opinion most most fault fault fault tune quick tune free learn more event most most most window news power progress power most most most red hat power most tool not power power not time power power game tower time arm window window sleep red hat power time tower time tool love girl tree more free good tower time more red hat mother red more free sun learn not more hard time window game love girl tree power power free love girl tree tool like power not arm power not not win too not much much more writer tool love opinion window game sin world good good game key tool power power love opinion free arm most writer writer power answer red hat dark not dark not event arm quick free window game like window like power free like free window game free fight game more learn more game game more much much more window game window game window game god game window much time power present power rock game arm free power lost window power most not most most love more detail free interest space good power tool good home corner crash power friend tool ship finger power power like hit tool good good good good good good good friend window good good good not good free free free free market space power free red hat free good idea idea too key arm free like news horror power fun more power power power arm like like much much more free writer good most arm tool writer writer power game sin most time ship game more money name power game most game most more space most like like friend watch friend power key free mind power power world power world arm part part power option like window window power space space space like power tool option tool tool much much more quick tool game love tool detail power sin power window sin power tower time face learn odd good odd good game window much much more power free power power writer writer less tower time wine learn writer power power tune writer free love most love less arm detail python enjoy tool world option arm key enjoy power power much much more tool power power leader writer space power power power leader power trust learn learn power power quick power power power power power power free power power power power power power power power power writer power power much much more tool wine writer writer quick quick much much more much much more cell fun arm tool fun fun more arm tune friend tune more key arm option tune snow tune name detail tool quick power much much more fun arm detail free detail much much more clock like window option not afraid much much more save more window much much more tool free more more free tool arm door interest power interest more interest interest interest interest power interest power interest power interest power interest interest interest quick quick more arm interest power interest power interest interest interest interest power more man free much much more bliss bliss panic tool never key good tool world month month free fun much much more arm tool learn more corrupt much much more idea more tool arm pain fun more much much more much much more love tool much more more python python tool python clock python home game learn much much more flag clock free event door door door arm part tool window arm tool more tool more learn arm arm python python more tool book arm book world wish man god hard like broken book arm more world free color terrorist save learn more learn name more learn tool more more arm clock tool more much much more name name arm relax save book book free free tool much much more cow free part much much more arm much much more flag arm key much much more free clock much much more book good like free journal free journal arm relax arm much much more key not book custom news more more broken writer free much much more fault fault arm arm love custom arm not game game game game game game game tool learn tree game game game hard much much more arm arm arm power tool free tool like arm arm much much more much much more free event arm more arm hard wife arm game context arm tower free journal cut time not not power home game fun arm arm flag arm wine wine option arm flag rock time save option part much much more event not lamp wine clock name more not wine crash arm free free time safe arm clock wine save arm much love destroy fun snow world world space swift swift time like arm arm window quick arm arm not too not name arm field arm arm free news field tree tree like arm arm power arm arm context world tool panic arm learn fun lake board good fun fault arm window window corrupt book like free clock corrupt crash not like crash arm win flag arm sugar learn world sugar free learn panic crash dump tree tree most power game book clock arm fault field more good good arm too good love tool more tool more most world cord arm book clock not not arm god not free much much more free journal hate hate window free journal broken much much more tool more fun arm arm tool more learn not arm learn learn much much more much much more learn learn key much much more much much more world god arm arm arm more tool more space space space fault arm option free nice much much more much much more much much more more horror color part arm black black part much much more world more world love world not arm white paper learn more much much more more window interest swift arm name free more quick much much more window arm hat tool game save save broken free not person not not color color clock not clock arm leader learn hand most leader learn hand leader learn hand event leader learn hand like arm,0.5324279236276847,0.3127175417661109,0.3009739856801932,0.3489056085918863,0.27904797136038384
learn easy,0.7449999999999999,0.281,0.267,0.285,0.22000000000000003
table,0.306,0.22400000000000003,0.21800000000000003,0.22400000000000003,0.22200000000000003
table,0.306,0.22400000000000003,0.21800000000000003,0.22400000000000003,0.22200000000000003
arm dump,0.29300000000000004,0.374,0.395,0.344,0.4
like arm,0.29280000000000006,0.1968,0.17440000000000003,0.18719999999999998,0.1808
like arm,0.29280000000000006,0.1968,0.17440000000000003,0.18719999999999998,0.1808
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
accident,0.21200000000000002,0.564,0.722,0.738,0.376
improve,0.792,0.258,0.25,0.294,0.21200000000000002
improve,0.792,0.258,0.25,0.294,0.21200000000000002
bus,0.314,0.292,0.25,0.286,0.298
name,0.508,0.298,0.27799999999999997,0.264,0.252
name,0.508,0.298,0.27799999999999997,0.264,0.252
execution,0.22400000000000003,0.658,0.72,0.688,0.634
execution,0.22400000000000003,0.658,0.72,0.688,0.634
execution,0.22400000000000003,0.658,0.72,0.688,0.634
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
coin game,0.577,0.309,0.273,0.259,0.24
coin game,0.577,0.309,0.273,0.259,0.24
name,0.508,0.298,0.27799999999999997,0.264,0.252
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
much much more,0,0,0,0,0
name,0.508,0.298,0.27799999999999997,0.264,0.252
name,0.508,0.298,0.27799999999999997,0.264,0.252
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
love opinion,0.716,0.348,0.35200000000000004,0.356,0.271
love opinion,0.716,0.348,0.35200000000000004,0.356,0.271
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
accident,0.21200000000000002,0.564,0.722,0.738,0.376
accident,0.21200000000000002,0.564,0.722,0.738,0.376
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418
world happy,0.7609999999999999,0.268,0.3,0.28700000000000003,0.264
world happy,0.7609999999999999,0.268,0.3,0.28700000000000003,0.264
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
custom,0.442,0.242,0.256,0.236,0.23399999999999999
custom,0.442,0.242,0.256,0.236,0.23399999999999999
slow,0.3,0.442,0.378,0.33799999999999997,0.37
accident,0.21200000000000002,0.564,0.722,0.738,0.376
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
money,0.8460000000000001,0.41200000000000003,0.384,0.404,0.40599999999999997
accident,0.21200000000000002,0.564,0.722,0.738,0.376
name,0.508,0.298,0.27799999999999997,0.264,0.252
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
good,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998
happy,0.9359999999999999,0.21600000000000003,0.23399999999999999,0.22200000000000003,0.22000000000000003
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
complete,0,0,0,0,0
treat,0.806,0.21800000000000003,0.22200000000000003,0.22200000000000003,0.21000000000000002
improve,0.792,0.258,0.25,0.294,0.21200000000000002
improve,0.792,0.258,0.25,0.294,0.21200000000000002
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
accident,0.21200000000000002,0.564,0.722,0.738,0.376
party,0.8619999999999999,0.252,0.248,0.27599999999999997,0.252
option quite friendly,0.33,0.52,0.51,0.548,0.502
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
false,0.244,0.524,0.422,0.4,0.318
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
not,0,0,0,0,0
happy learn more event,0.6346666666666666,0.2326666666666667,0.22833333333333333,0.23066666666666666,0.18766666666666668
false,0.244,0.524,0.422,0.4,0.318
false,0.244,0.524,0.422,0.4,0.318
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
accident,0.21200000000000002,0.564,0.722,0.738,0.376
option quite friendly,0.33,0.52,0.51,0.548,0.502
option quite friendly,0.33,0.52,0.51,0.548,0.502
