A,B,C,D,E,F
not,0,0,0,0,0
quick,0.506,0.266,0.262,0.282,0.22799999999999998
quick,0.506,0.266,0.262,0.282,0.22799999999999998
not,0,0,0,0,0
like,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
python more,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python more,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
tool,0.316,0.266,0.242,0.27,0.246
very python,0.131,0.16799999999999998,0.152,0.355,0.23900000000000002
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
very python,0.131,0.16799999999999998,0.152,0.355,0.23900000000000002
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
time,0.414,0.356,0.39,0.43200000000000005,0.264
good progress,0.8039999999999999,0.229,0.22599999999999998,0.262,0.219
like,0,0,0,0,0
good progress,0.8039999999999999,0.229,0.22599999999999998,0.262,0.219
good progress,0.8039999999999999,0.229,0.22599999999999998,0.262,0.219
good progress,0.8039999999999999,0.229,0.22599999999999998,0.262,0.219
game,0.706,0.378,0.318,0.294,0.24
python python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
computer most python,0.38689999999999997,0.33520000000000005,0.26580000000000004,0.4625,0.35710000000000003
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
building python,0.298,0.292,0.271,0.49499999999999994,0.364
most useful python,0.4505,0.2823,0.2564,0.45759999999999995,0.33980000000000005
most useful python,0.4505,0.2823,0.2564,0.45759999999999995,0.33980000000000005
most useful python,0.4505,0.2823,0.2564,0.45759999999999995,0.33980000000000005
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
most useful python,0.4505,0.2823,0.2564,0.45759999999999995,0.33980000000000005
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
building python,0.298,0.292,0.271,0.49499999999999994,0.364
people,0.626,0.382,0.38,0.386,0.344
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
happy python any family,0.42533333333333334,0.41933333333333334,0.4126666666666666,0.5613333333333334,0.49333333333333335
not,0,0,0,0,0
imagine,0.716,0.236,0.252,0.312,0.22999999999999998
imagine,0.716,0.236,0.252,0.312,0.22999999999999998
python learn python python,0.37300000000000005,0.33699999999999997,0.304,0.6154999999999999,0.41400000000000003
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
learn python python,0.41000000000000003,0.3373333333333333,0.30400000000000005,0.584,0.3926666666666667
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
learn python python,0.41000000000000003,0.3373333333333333,0.30400000000000005,0.584,0.3926666666666667
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
learn python python,0.41000000000000003,0.3373333333333333,0.30400000000000005,0.584,0.3926666666666667
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
not,0,0,0,0,0
not,0,0,0,0,0
not,0,0,0,0,0
tool,0.316,0.266,0.242,0.27,0.246
most python,0.2358,0.3024,0.2736,0.639,0.4302
most python,0.2358,0.3024,0.2736,0.639,0.4302
most python,0.2358,0.3024,0.2736,0.639,0.4302
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
most python,0.2358,0.3024,0.2736,0.639,0.4302
tool,0.316,0.266,0.242,0.27,0.246
python quick,0.384,0.301,0.28300000000000003,0.496,0.35300000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
tool,0.316,0.266,0.242,0.27,0.246
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
tool,0.316,0.266,0.242,0.27,0.246
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
quick,0.506,0.266,0.262,0.282,0.22799999999999998
quick,0.506,0.266,0.262,0.282,0.22799999999999998
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
tool,0.316,0.266,0.242,0.27,0.246
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
curious,0.484,0.29,0.266,0.318,0.236
curious,0.484,0.29,0.266,0.318,0.236
curious,0.484,0.29,0.266,0.318,0.236
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
context python,0.27,0.294,0.27199999999999996,0.477,0.352
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
not,0,0,0,0,0
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
tool,0.316,0.266,0.242,0.27,0.246
context python,0.27,0.294,0.27199999999999996,0.477,0.352
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
child,0.8220000000000001,0.258,0.3,0.314,0.22999999999999998
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
not,0,0,0,0,0
easy,0.784,0.22200000000000003,0.22999999999999998,0.238,0.21800000000000003
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
machine python,0.316,0.337,0.29,0.537,0.378
machine python,0.316,0.337,0.29,0.537,0.378
not,0,0,0,0,0
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
face python,0.44299999999999995,0.352,0.352,0.541,0.413
python like,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
building python,0.298,0.292,0.271,0.49499999999999994,0.364
building python,0.298,0.292,0.271,0.49499999999999994,0.364
building python,0.298,0.292,0.271,0.49499999999999994,0.364
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
time,0.414,0.356,0.39,0.43200000000000005,0.264
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python much more,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python much more,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
tool,0.316,0.266,0.242,0.27,0.246
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
python machine,0.316,0.337,0.29,0.537,0.378
any,0,0,0,0,0
any,0,0,0,0,0
quick,0.506,0.266,0.262,0.282,0.22799999999999998
quick,0.506,0.266,0.262,0.282,0.22799999999999998
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
surprised,0.732,0.286,0.27799999999999997,0.38,0.22799999999999998
surprised,0.732,0.286,0.27799999999999997,0.38,0.22799999999999998
surprised,0.732,0.286,0.27799999999999997,0.38,0.22799999999999998
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
exercise little,0.704,0.316,0.294,0.306,0.27999999999999997
any,0,0,0,0,0
exercise little,0.704,0.316,0.294,0.306,0.27999999999999997
exercise little,0.704,0.316,0.294,0.306,0.27999999999999997
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
fear not,0.22400000000000003,0.454,0.504,0.874,0.32799999999999996
fear not,0.22400000000000003,0.454,0.504,0.874,0.32799999999999996
fear not,0.22400000000000003,0.454,0.504,0.874,0.32799999999999996
