A,B,C,D,E,F 
 spidey glidin',0.549,0.7635000000000001,0.6674999999999999,0.729,0.51
 spiderman places teaser,0.549,0.7635000000000001,0.6674999999999999,0.729,0.51
 expectativa grande,0.549,0.7635000000000001,0.6674999999999999,0.729,0.51
 fucking mysterio,0.549,0.7635000000000001,0.6674999999999999,0.729,0.51
,1.1687999999999998,0.7197,0.6104999999999999,0.5868,0.462
 marvete loucura 
obrigado,1.1687999999999998,0.7197,0.6104999999999999,0.5868,0.462
 teaser trailer,1.1687999999999998,0.7197,0.6104999999999999,0.5868,0.462
 pretty 

peter,1.70976,0.7379399999999999,0.7790999999999999,0.73536,0.6684
 misericuerdia,1.70976,0.7379399999999999,0.7790999999999999,0.73536,0.6684
 teaser trailer,1.70976,0.7379399999999999,0.7790999999999999,0.73536,0.6684
 trailer,1.70976,0.7379399999999999,0.7790999999999999,0.73536,0.6684
 spidey glidin',0.35397599999999996,0.328294,0.30040999999999995,0.316536,0.23684000000000002
,0.3123976,0.1618294,0.15354099999999998,0.16865360000000001,0.140684
,0.30823976000000003,0.14518294,0.1388541,0.15386536,0.13106840000000003
 literally everyone trailer,0.30823976000000003,0.14518294,0.1388541,0.15386536,0.13106840000000003
 spidey glidin',0.21382397600000003,0.269018294,0.23638541000000002,0.258386536,0.18310684000000002
,0.2983823976,0.1559018294,0.14713854099999998,0.1628386536,0.13531068400000001
,0.2983823976,0.1559018294,0.14713854099999998,0.1628386536,0.13531068400000001
 wasn't,0.25733823976000003,0.26059018294,0.22671385409999995,0.24078386536,0.20753106839999996
 trailer holland,0.25146764795200005,0.17711803658800002,0.18334277082,0.190156773072,0.17050621368000002
 expectativa grande,0.25146764795200005,0.17711803658800002,0.18334277082,0.190156773072,0.17050621368000002
,0.25146764795200005,0.17711803658800002,0.18334277082,0.190156773072,0.17050621368000002
 parker prettiest,0.25146764795200005,0.17711803658800002,0.18334277082,0.190156773072,0.17050621368000002
