A,B,C,D,E,F 
world key more world world quick blue world python python watch key more world world key more python pet book key more world key more key more world world world world key more key more pet quick life thought pet fun frog fun frog learn fun frog less dream book less quick quick learn learn learn learn learn free part free python book book learn game more interest learn game more interest learn game more interest learn game more interest learn game more interest part power part more more python safe fraud face face power python power python learn python python learn python learn python python learn python python python fraud python fraud python power python python power python python python python power power fraud power fraud power power power power power fraud fraud fraud fraud free red watch book python learn learn learn free free python python python not not tree more python not not safe python python python not not python safe safe tree more safe like safe safe safe safe safe safe learn paint present learn less art quick blue quick blue quick blue fun custom art free free less not tree more fun custom fun custom tool python learn learn learn python fun custom fun custom custom learn learn learn learn learn learn learn learn learn python learn pain learn world quick blue music not not car learn custom not not pain learn pain not learn learn learn serious serious learn not learn learn market python learn less learn learn learn learn learn less python learn less not learn free journal learn free journal not market not tool learn tree game learn less learn learn less soft market less tower free journal cut time less less bless learn tree more unit pain python learn tree more wonder learn tool learn learn learn wonder free journal free journal learn learn learn tree more learn tree more tree more art learn art art art learn pain pain not like art unit learn glass unit free journal free journal learn glass unit learn not less not more more nice game not not not game time learn more free journal free journal free journal free journal pain pain free journal free journal free journal free journal free journal quick pain pain pain pain learn learn attract pain pain pain pain quick tower art paper learn free journal learn learn fun frog fun frog python learn learn learn python learn learn learn python part learn learn space python fun frog learn part power art more learn learn learn learn space python free journal learn tool cut time market cut time python python python python tree game tree game python python learn python learn learn learn tree game free learn learn learn mind more free learn free learn learn tree game tree game tree game tree game tree game tree game tree game free journal learn tool idea time learn learn free journal game learn free journal learn cut time free journal door tool learn tower python learn learn cut time python door tool learn python learn phase not time not time learn learn game free journal free journal learn cut time python python banner learn like python learn learn tool learn tool learn tool learn learn tool learn tool learn tool learn tool learn tool free journal tool learn learn free journal free journal game learn invest game learn invest door python cut time learn tower free journal free journal free journal door learn free journal free journal free journal cut time free journal free journal free journal journal tower tower tower tower tower tower tower tower tower tower tower tower time tower tower tower tower door python python learn learn learn python crash python python crash python python crash python python learn learn learn time python learn learn time door python crash python learn learn learn learn cut time cut time cut time cut time cut time interest learn interest learn not not learn cut time learn world door door cut time learn learn love learn learn more learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn interest idea tool cut time idea tool more more more not not not nice good learn door door cut time not not cut time python cut time door door method honey learn door door star more python cut time star more door cut time python not not python door door python python python door door cut time cut time cut time time door python python python python python python learn door door door door door python more not not good free python free python tool star more context star more learn learn world star more star more star more star more learn learn learn more free python tree most alert leader part learn python python python python more more python more python learn book learn learn python life life life more more not more python more more more more python python python python python python python python python interest learn learn learn game more more interest more more not tool learn more more more more more more free learn free learn free learn cancer tune learn most learn python tool learn python not not not interest not not not not not not not tool learn tune learn learn tool learn python learn most most most learn most interest like more learn learn learn python tool learn learn python most not free music learn car learn learn tool learn context tool learn tool learn tool learn python python tool context learn python tool learn python learn python tool learn tool learn tool learn tool learn tool learn tool learn tool learn tool learn tool learn tool learn tool learn tool learn tool learn python python python context python learn learn python python python python python python learn learn learn learn learn learn learn learn learn learn learn learn learn not tool learn learn learn learn learn learn learn learn learn learn car free python free python learn car free python free python attract fun learn method metal learn tune interest custom life life life interest custom custom music learn music learn learn most interest interest power most tune tune tune part swift swift swift swift not success like success like success like success like success like learn book python success like book more swift event death learn destroy death learn destroy learn learn paper success power event learn power power power power learn method metal moment power power learn method metal learn method metal learn method metal learn method metal python learn learn free life attract attract event life free event free attract learn learn poison learn learn watch attract learn method metal learn method metal most not learn method metal learn method metal learn python learn learn not more power power power power power learn learn present learn power learn learn learn never learn scholar attract learn learn learn learn learn learn tool learn learn not more good news learn learn learn learn not not time time tune time learn power tool much learn interest like more learn more learn most learn most python learn world learn method metal learn world learn python learn learn learn learn python learn learn learn learn learn learn python python learn world learn world attract python most face learn learn learn scholar good mold success learn cut time learn paper cut time learn python learn attract cut time learn cut time present cut time python attract free python more learn more not learn learn scholar scholar scholar scholar scholar scholar scholar learn not learn free python world python learn paper python tool free python paper learn life learn learn method metal free python free python free python tool learn paper tool learn learn learn tool cancer learn paper learn paper learn leader learn learn not learn tool free python world learn world learn success learn adult learn learn success learn success learn success mind success not part part part free python world python free python world not python free python world attract free python world attract attract learn learn learn attract learn attract python learn learn python python learn not not learn python learn python leader learn learn attract learn learn not not not not not not not not much more learn paper not not not not attract not not learn not not not not not learn learn learn paper learn more more life life learn learn success paper more paper present learn good mold learn learn paper learn python scholar attract learn more learn custom learn python success learn method metal learn method metal learn method metal learn world learn tune adult attract custom custom custom learn learn learn paper learn paper learn attract attract attract success attract attract attract success success method success learn world learn world success success scholar python learn learn learn python learn world attract learn python scholar scholar attract learn scholar attract learn method metal good mold free method method learn learn learn python python enjoy good mold good mold good mold good mold good mold good mold learn python learn learn python learn time scholar scholar scholar python learn paper attract learn learn attract scholar custom learn scholar attract attract attract attract python scholar python scholar scholar learn paper learn scholar python scholar scholar scholar scholar scholar scholar python learn more learn learn python learn python python learn learn learn paper python learn learn paper python learn method metal python learn paper learn learn learn method metal python python python python python learn learn paper learn learn paper learn learn learn paper learn learn paper learn paper paper learn paper learn learn paper fabric learn paper learn learn time learn learn learn learn learn learn learn learn learn learn paper paper more paper paper learn life learn learn method metal learn paper learn paper learn paper learn method metal learn method metal learn paper learn paper learn free python learn paper learn paper learn method metal learn paper learn paper learn paper learn paper learn paper learn paper learn paper learn paper learn paper learn paper life life learn python life paper learn life learn learn method metal learn method metal learn method metal learn method metal learn method metal learn learn fun learn learn learn learn method metal learn method metal learn method metal life learn method metal learn learn learn learn learn learn learn learn most journal learn learn learn learn learn learn life learn paper python learn learn tool learn life life life life life learn life life life life life paper paper paper learn learn learn tower not paper learn paper paper learn learn learn learn learn paper python python paper most paper paper paper python python paper paper paper paper paper paper paper paper paper most most man more more more python python learn learn learn learn more more tower not tower not learn more free python more learn more more more more method more more more python python python python python learn learn learn tower not tower not learn learn learn learn paper more paper paper more paper learn patent learn learn time learn time learn game game learn learn learn paper more paper learn learn learn learn part learn learn tune learn learn learn learn learn most learn learn game breast cancer game game part paper more paper learn time learn time learn spring learn learn paper more paper spring progress paper more paper not power learn python learn learn learn python learn learn learn learn learn python learn tool python learn learn learn python paper more paper free face leader free face leader free face leader free face time learn learn power tool not not paper more paper paper more paper learn method learn learn learn not fabric fabric learn tool learn learn paper more paper learn learn python cell python tool python paper more paper tool tool paper more paper paper more paper paper more paper paper more paper paper more paper spring paper more paper free method learn paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper paper more paper cell learn time python learn leader free python python learn learn free python python like time detail tune learn learn learn learn market market detail python python learn learn breast cancer breast cancer learn breast cancer breast cancer breast cancer spring learn learn method win custom learn learn tune learn learn world spring method spring world world time time time free learn free python free python learn learn win custom deceit deceit learn like deceit tool learn learn learn learn learn learn free python python breast cancer learn learn detail learn learn spring spring free learn learn learn learn learn learn method method method method free python learn learn learn python learn learn learn python detail leader learn detail learn learn learn leader leader tree leader leader leader learn python learn learn learn python learn market learn breast cancer spring free method learn cancer learn python learn python learn learn breast cancer python learn learn learn python breast cancer learn python learn learn learn python learn learn learn python learn learn learn method face face learn learn learn learn learn method cancer free method book method fabric free spring free learn method breast cancer spring method free method method method method method method method method method method paper free spring spring free free free free free free free free free free spring spring spring tool spring tool spring spring spring spring spring fabric learn tool learn learn spring spring spring spring spring spring spring spring spring breast cancer fabric learn tool tool tool fabric breast cancer learn learn learn learn breast cancer learn learn breast cancer breast cancer learn breast cancer breast cancer learn market learn breast cancer learn tool breast cancer breast cancer breast cancer breast cancer breast cancer breast cancer breast cancer learn python most most learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn learn paper learn learn python learn learn learn tool tool tool tool tool tool tool tool tool tool fun learn learn learn learn fabric learn learn learn learn python fabric fabric fabric power fabric fabric fabric fabric fabric fabric learn tool python present python more more python learn part learn learn part interest paper more fun learn learn free python tool like learn hard learn learn hard learn hard free python free python free python tree python more learn present present most more learn hard like like learn more more python music music python music like music python answer most man win learn learn learn trust win trust win alert learn learn learn part like learn black trust learn win like like like learn win win trust trust win learn part trust trust win learn part like most like python face learn learn learn triumph most most free learn spring free learn spring free learn spring most most learn space most learn most most most learn learn learn learn most most most most most most most most most most more most most triumph most most most learn most learn answer most tool part learn learn most most most learn more learn more learn learn learn more learn learn face learn free free answer face vision part learn paper more more answer much more watch much more answer answer answer answer answer answer answer answer answer python more free free free free most learn enjoy learn most learn most much more learn cut time custom learn learn cut time custom learn part method learn thought learn learn free most custom power python thought learn learn learn learn strong not book learn python python love watch learn learn python python python learn learn learn python thought learn learn more interest paper interest paper interest learn learn most python python learn more white paper power paper custom custom custom custom custom custom custom custom custom custom custom custom custom custom custom custom python most free learn present present present present learn learn most python tool python tool most most learn power learn most python learn learn learn most part face learn world hit more hit more learn learn learn tool learn part method tool tool tool tool learn learn crash vision learn hit more learn free free python python learn learn quick learn world present learn most learn learn learn learn learn python learn learn learn python part learn part method learn most most most most most most most most most most most most most most most learn good python python good good learn python python learn learn learn learn learn more too learn learn learn python snow part part python python learn part method malaria learn python tool python python python tool python tool python tool python tool learn learn part python learn learn learn learn learn python python,0.5484642508143301,0.32932728013028845,0.3147481270358317,0.3754104234527696,0.2876718241042358
key more,0.422,0.266,0.244,0.25,0.22599999999999998
quick blue,0.518,0.277,0.40700000000000003,0.28300000000000003,0.242
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
complete,0,0,0,0,0
watch,0.4,0.25,0.27599999999999997,0.284,0.258
key more,0.422,0.266,0.244,0.25,0.22599999999999998
key more,0.422,0.266,0.244,0.25,0.22599999999999998
python,0.262,0.33599999999999997,0.304,0.71,0.47800000000000004
