A,B,C,D,E,F
 kelley,0.768,0.46900000000000003,0.614,0.47,0.437
 gwynne shotwell spacex,0.768,0.46900000000000003,0.614,0.47,0.437
 double paypal,0.768,0.46900000000000003,0.614,0.47,0.437
 double paypal,0.768,0.46900000000000003,0.614,0.47,0.437
,0.768,0.46900000000000003,0.614,0.47,0.437
 trounce plugin hybrid,0.968,0.669,0.8140000000000001,0.6699999999999999,0.637
 kelley,0.32053333333333334,0.20093333333333335,0.25893333333333335,0.20133333333333334,0.18813333333333335
 kelley,0.2773688888888889,0.16972888888888887,0.22192888888888887,0.1700888888888889,0.1582088888888889
 kelley,0.27449125925925927,0.16764859259259257,0.21946192592592592,0.16800592592592595,0.15621392592592592
 (discover genius within),0.27449125925925927,0.16764859259259257,0.21946192592592592,0.16800592592592595,0.15621392592592592
 investor generation,0.27449125925925927,0.16764859259259257,0.21946192592592592,0.16800592592592595,0.15621392592592592
 investor generation,0.27449125925925927,0.16764859259259257,0.21946192592592592,0.16800592592592595,0.15621392592592592
 kelley,0.2742994172839506,0.16750990617283948,0.21929746172839507,0.16786706172839505,0.15608092839506174
 trounce plugin hybrid,0.4742994172839506,0.3675099061728395,0.4192974617283951,0.36786706172839506,0.3560809283950618
 hardcover,0.4742994172839506,0.3675099061728395,0.4192974617283951,0.36786706172839506,0.3560809283950618
 kelley,0.28761996115226335,0.18083399374485598,0.23261983078189302,0.18119113744855966,0.16940539522633744
 charger powered pennsylvania,0.28761996115226335,0.18083399374485598,0.23261983078189302,0.18119113744855966,0.16940539522633744
,0.28761996115226335,0.18083399374485598,0.23261983078189302,0.18119113744855966,0.16940539522633744
 trounce plugin hybrid,0.48761996115226336,0.380833993744856,0.43261983078189303,0.3811911374485597,0.3694053952263374
 iphone android?,0.48761996115226336,0.380833993744856,0.43261983078189303,0.3811911374485597,0.3694053952263374
 showed starship,0.48761996115226336,0.380833993744856,0.43261983078189303,0.3811911374485597,0.3694053952263374
 happened before,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 charger powered pennsylvania,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 realizza,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 throwback,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 roadster literalmente segundo,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 iphone android?,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 charger powered pennsylvania,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 charger powered pennsylvania,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 hyperloop explained,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 (discover genius within),0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 officially,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
 iphone android?,0.3045239922304527,0.2541667987489712,0.2815239661563786,0.29223822748971195,0.2058810790452675
