A,B,C,D,E,F 
world world writer writer free success hide more world game world game most not most not writer dark good like person free writer writer writer writer writer writer writer free writer free free writer free nice tool nice tool power hard window home home hard window more book writer writer learn part love writer writer learn time nice tool hard writer writer writer success hide more success hide more hard hard hard hard more more writer writer writer writer writer free free writer free writer writer writer writer writer writer writer free writer tree tree window more swift part part part part part part part more music window more part more writer fun writer writer more love tool learn fight good fight like hit dark dark dark dark dark dark not space space free writer writer writer more black more more dark more eat more writer writer learn writer more writer free more writer more more writer writer writer more more more crash odd more dark more more more not more not more smooth hard save more answer space dark more learn dark dark person writer more dark dark more hard key more more hide more much more more more more more more more more more more more time more more more more more more learn more learn more sin more more save more more more more like more more more more more more more more more writer learn part love writer not face more more time clock nice learn part love much more window interest person person person person person person tool window world learn dark cook game bastard dark dark world world not face time swift world watch mail free month month month crash cook cook window event window window window window writer free writer dark writer love tool car home window pencil learn dark book hand mind not color car time free space time tool not color car writer sin writer writer writer power writer power good writer writer like kick writer tool window custom watch like tool learn sin sin window not less learn writer learn not danger nun swift free free cut mail answer hell tool swift like person tool window color person person person person tool tool color color color color more color color time much game nice nice color interest swift swift swift watch time hell interest interest interest free cut cut free free free writer window too slow pain watch mail enjoy writer watch enjoy free like more thought more home window more answer mail too like hide dark dark not disturb free news dream free free free python python more writer learn part love time time dark sky dark nun nun learn victim free part love free more learn time time time time swift hat hat time time time time swift learn nun more more more much dark not dark more dark game game game game game game enjoy like hell odd hand writer enjoy writer free free writer free writer writer writer writer writer writer writer free tool air writer not hand never dark tool like like free love option good watch wonder free dark dark home tool victim lost tool dark eat too wonder watch tool tool tool dark tool hate hate victim dark eat not writer swift writer air more window game eat swift swift tool free free tune free free tune free free writer learn writer writer writer writer writer part love free free writer writer tool free tool tool tool free tool writer writer free free writer writer writer writer writer writer like much more dark answer more not power dark news news window game more more window game window game window game writer writer,0.5235246913580243,0.3162390946502052,0.3355658436213997,0.345129629629631,0.2743489711934157
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
hide more,0.27999999999999997,0.314,0.38,0.5820000000000001,0.258
world game,0.646,0.34900000000000003,0.34199999999999997,0.323,0.274
world game,0.646,0.34900000000000003,0.34199999999999997,0.323,0.274
most,0,0,0,0,0
most,0,0,0,0,0
writer,0.53,0.32999999999999996,0.39,0.316,0.286
dark,0.362,0.32799999999999996,0.434,0.614,0.252
good like,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
writer,0.53,0.32999999999999996,0.39,0.316,0.286
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
writer,0.53,0.32999999999999996,0.39,0.316,0.286
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
power,0.692,0.34199999999999997,0.27999999999999997,0.476,0.294
extremely hard,0.23099999999999996,0.3108,0.24499999999999997,0.3094,0.19599999999999998
window,0.446,0.23399999999999999,0.27,0.248,0.22400000000000003
home,0.82,0.284,0.346,0.264,0.244
home,0.82,0.284,0.346,0.264,0.244
extremely hard,0.23099999999999996,0.3108,0.24499999999999997,0.3094,0.19599999999999998
window,0.446,0.23399999999999999,0.27,0.248,0.22400000000000003
more,0,0,0,0,0
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
part love,0.63,0.298,0.36500000000000005,0.34199999999999997,0.248
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
learn,0.706,0.33999999999999997,0.304,0.33199999999999996,0.22200000000000003
time,0.414,0.356,0.39,0.43200000000000005,0.264
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
extremely hard,0.23099999999999996,0.3108,0.24499999999999997,0.3094,0.19599999999999998
any,0,0,0,0,0
any,0,0,0,0,0
any,0,0,0,0,0
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
writer,0.53,0.32999999999999996,0.39,0.316,0.286
hide more,0.27999999999999997,0.314,0.38,0.5820000000000001,0.258
