A,B,C,D,E,F 
disappoint not smooth learn dark air part time phase idea hit nice nice learn dark not crash dark rock red rock museum song learn dark black woman metal rock dark sky hell dark dark time hell dark dark dark dark dark dark dark,0.4528780487804879,0.36443902439024395,0.3979512195121952,0.46560975609756067,0.29726829268292676
very not,0,0,0,0,0
smooth,0.624,0.23199999999999998,0.22200000000000003,0.21600000000000003,0.22799999999999998
learn dark,0.534,0.33399999999999996,0.369,0.473,0.23700000000000002
any,0,0,0,0,0
air,0.5820000000000001,0.21600000000000003,0.22400000000000003,0.242,0.24
part,0.316,0.256,0.298,0.274,0.252
time phase,0.404,0.36,0.374,0.384,0.28700000000000003
dreadful idea,0.425,0.36100000000000004,0.43599999999999994,0.42800000000000005,0.35
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
nice,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
learn dark,0.534,0.33399999999999996,0.369,0.473,0.23700000000000002
not mistake,0.762,0.48600000000000004,0.516,0.502,0.648
crash,0.238,0.564,0.6759999999999999,0.728,0.434
vehicle,0.5980000000000001,0.33199999999999996,0.33199999999999996,0.40800000000000003,0.254
dark,0.362,0.32799999999999996,0.434,0.614,0.252
rock,0.366,0.304,0.288,0.316,0.27
red rock,0.41200000000000003,0.387,0.285,0.352,0.267
museum,0.446,0.26,0.272,0.248,0.23399999999999999
song movie,0.798,0.346,0.42799999999999994,0.33599999999999997,0.297
learn dark,0.534,0.33399999999999996,0.369,0.473,0.23700000000000002
black,0.274,0.548,0.608,0.584,0.41600000000000004
woman,0.712,0.344,0.364,0.352,0.268
quite metal,0.704,0.724,0.73,0.704,0.77
dark,0.362,0.32799999999999996,0.434,0.614,0.252
engine,0.322,0.242,0.22799999999999998,0.262,0.262
hell,0.22999999999999998,0.646,0.658,0.772,0.5519999999999999
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
time,0.414,0.356,0.39,0.43200000000000005,0.264
hell,0.22999999999999998,0.646,0.658,0.772,0.5519999999999999
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
dark,0.362,0.32799999999999996,0.434,0.614,0.252
