@relation Binary_final_data_#Linux
@attribute A {not,free,'virtue hard',panic,very,writer,less,complete,name,'less option',tool,arm,evil,board,python,any,'not much',much,happy,suspicious,'market leader',learn,'free space',rescue,sin,market,'time good','not flower computer','news arm',secure,time,'love hate hate',woman,'tree tree','execution more',more,'quick nice','machine python','delayed failure',building,failure,'save key','save key phase',key,memory,black,window,clock,'tree present',city,computer,little,like,'not party',most,god,love,never,'less good',birthday,'red hat red hat','red hat',improve,'not not',destruction,'time more',book,'world happy','machine improve pain',spring,man,mail,machine,'sunlight scared',game,'much dislike','free learn',moment,'tree game','space bar','safe context','part useful',present,cat,elegant,mistake,useless,hand,easy,'thought learn more',quick,'very nice',useful,'part love',beast,'part more','lucky money car','kind music enjoy',fault,part,delayed,pie,good,flag,'dark free game',serious,'not tool',car,'method not',cell,'arm reserved memory',favor,world,bloody,custom,'cold war',home,'arm tree',house,color,hat,people,material,'evil complete','book knowledge',capable,method,pizza,'free learn more',proud,'arm memory',event,'people death news','lake city',news,movie,'little save',killer,'python game',infection,nice,space,'quite surprised not more',bus,'army knife','freedom improve computer','like like',option,idea,'world much',health,tree,dark,air,'good book',imagine,'computer interest kids blind','most news',life,'christmas time',thought,'part part',green,'alert free',slow,lake,family,'free free','tower tower destroy',fear,'arm clock',slave,'not people','python part',execution,'free time',agony,'improve pain',trouble,quite,dump,crash,'pretty pretty much not','dark free inspired',mind,'time time',severe,privacy,lust,'news foam',answer,power,watch,hide,'people hide',month,'building tool','learn dump watch',safe,confused,'hope like much','name name','much hard','not learn',nun,'history history','not stupid',wine,'learn more',dollar,'friendly tool',umbrella,'part tool','any easy',music,'more life',lamp,barrel,'life not',humble,'like nice',fantasy,'game never','wish good','hard hard',kind,accident,'little option','hard much',boy,hairdryer,dirty,couple,'more color',metal,trust,shadow,'nice little nice','any space',item,false,'more most','love love',enjoy,sun,fall,'broken useful',knowledge,journal,'health dump',foam,'arm tree board','learn python easy','python python','power board',social}
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G {Happiness,Fear,Disgust,Anger,Sadness}
@data
not,0,0,0,0,0,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
'virtue hard',0.532,0.34,0.304,0.347,0.261,Happiness
panic,0.24,0.468,0.508,0.792,0.336,Fear
'virtue hard',0.532,0.34,0.304,0.347,0.261,Happiness
very,0,0,0,0,0,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
less,0,0,0,0,0,Happiness
complete,0,0,0,0,0,Happiness
name,0.508,0.298,0.278,0.264,0.252,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'less option',0.422,0.736,0.762,0.686,0.784,Disgust
tool,0.316,0.266,0.242,0.27,0.246,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
evil,0.206,0.764,0.594,0.792,0.558,Fear
board,0.284,0.312,0.276,0.276,0.262,Anger
python,0.262,0.336,0.304,0.71,0.478,Fear
any,0,0,0,0,0,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
any,0,0,0,0,0,Happiness
complete,0,0,0,0,0,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
not,0,0,0,0,0,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
not,0,0,0,0,0,Happiness
any,0,0,0,0,0,Happiness
any,0,0,0,0,0,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'not much',0,0,0,0,0,Happiness
much,0,0,0,0,0,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
happy,0.936,0.216,0.234,0.222,0.22,Happiness
suspicious,0.256,0.468,0.338,0.524,0.35,Fear
tool,0.316,0.266,0.242,0.27,0.246,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'market leader',0.568,0.292,0.259,0.303,0.262,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
