@relation Binary_final_data_#Windows10

@attribute A {'learn most',part,'mail not any',game,ink,time,very,hat,music,moment,life,'game little',dark,'free hard',world,free,easy,'game watch',people,safe,more,'freedom free','less good news news',news,too,'more love too',strong,slow,love,'not health',tool,'more humble book',market,'life easy','dark mail',not,win,watch,'mail not',totally,'too sad',lake,'education education',much,computer,learn,'part much','most powerful',lost,'not war','win machine finger window like home',privacy,killer,arm,'space hard','like too',hide,'activate not',custom,fun,powerful,'blue death',most,family,good,'game red','time board','pain book',office,'win watch','lost game','love quality','office lost office','office lost','paradise book','chance win','dark space','history tamper','more more',red,hell,'dark green',vision,corrupt,'time time','kids safe world family',home,'book book',hard,machine,'quite more machine',quick,failure,'black death','nice computer','city fire',sin,memories,'not custom any',industry,'dirt grass not grass like',any,paint,magical,'free learn','love more','more people','month month success','win not','learn safe quick','safe quick',mail,like,'world never',health,delayed,'more useful',person,'person hard',space,'life save power',engine,save,protected,nasty,'power mobility','any like',dislike,'fun sun','any part more useless','proud win',idea,'win home win','cold much','power power',answer,paper,broken,'free free','bright very',serious,'more life',adventure,clock,history,reserved,pain,'less less','not not','color like',contents,'game like broken','time game','dirty time','learn secure answer free','trouble not alone','part punishment not',thought,'beach ocean beach free',honest,black,'more save time more','dark much',travel,trouble,event,'capable any','computer hard',quite,vacation,alert,nice,'most history','wish not',sky,key,'secure secure','time event time','not quite quick','life little love','kind save',useful,anger,'love not',method,'hate hate','much not','present never','pretty pretty slow',body,fault,'like time',building,option,'win win free game','any chance','game like broken any','very engine','easy learn','good idea','good nice','serious trouble',window,wish,'dark blue red','much computer','home key less','mail much',impressed,'like computer','option any',power,less,'option hide','window window not','broken time not fault','thankful computer','broken time not','not more',face,army,friendly,'less any','like more','win more','watch easy','broken not fault fault','people hate hate','family like',door,'arm very','more not','trouble more',sick,'save time smile',happy,knowledge,never,'eat more space','learn more','broken time not fault failure','free ugly','flood fall nightmare','save easy','child safe','more privacy',trust,'game world','window broken white broken window','killer like','computer computer','not time not','computer very','white glass','any party',name,'memory any','activate god','world game','good office more',sun,'love mind win',excitement,'computer quite','complete office mobility','book more','reserved space','computer more computer','not not alone','home more','time smile',context,'white paper','love hate hate','very useful','suck more any','dark blue',activate,troubled,'tool hard','not candy',identity,'tool tool','panic complete',wonder,movie,complete,'answer little',panic,'home time office',hay,education,'secure watch more','not easy','space reserved','world secure key','education pencil ink',green,'fur tower','world hard improve computer','bright social blue',mind,'world free hard space','black treat','village house','very more useful','name not',man,fear,'event success','free computer win','people pet','black glass blue red',obnoxious,kind,'too much',soft,'less time',achievement,gold,cold,'like comfort','life couple','hope hope','life time',art,'people valentine','not plant','vision free','broken broken','window key','black yellow','not hit','watch pet','most easy','game game','time dump',square,'humble book','pretty pretty','sin red','sexy suck',mistake,'strong interest patent',chair,'more detail',hinder}
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute 'G' {Happiness,Fear,Sadness,Anger,Disgust}

@data
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
'mail not any',0.708,0.276,0.27,0.284,0.234,Happiness
game,0.706,0.378,0.318,0.294,0.24,Happiness
ink,0.338,0.254,0.23,0.238,0.238,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
ink,0.338,0.254,0.23,0.238,0.238,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
very,0,0,0,0,0,Happiness
hat,0.436,0.23,0.23,0.228,0.236,Happiness
music,0.852,0.326,0.358,0.264,0.244,Happiness
moment,0.53,0.308,0.314,0.302,0.246,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
life,0.912,0.356,0.4,0.404,0.272,Happiness
'game little',0.706,0.378,0.318,0.294,0.24,Happiness
dark,0.362,0.328,0.434,0.614,0.252,Fear
'free hard',0.601,0.337,0.29,0.354,0.249,Happiness
world,0.586,0.32,0.366,0.352,0.308,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
easy,0.784,0.222,0.23,0.238,0.218,Happiness
'game watch',0.553,0.314,0.297,0.289,0.249,Happiness
'game watch',0.553,0.314,0.297,0.289,0.249,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'game watch',0.553,0.314,0.297,0.289,0.249,Happiness
'game watch',0.553,0.314,0.297,0.289,0.249,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
people,0.626,0.382,0.38,0.386,0.344,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
safe,0.824,0.204,0.218,0.272,0.206,Happiness
'game little',0.706,0.378,0.318,0.294,0.24,Happiness
'game little',0.706,0.378,0.318,0.294,0.24,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
more,0,0,0,0,0,Happiness
'freedom free',0.878,0.243,0.258,0.302,0.224,Happiness
'learn most',0.706,0.34,0.304,0.332,0.222,Happiness
